回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
154,3,2,1,5,,,,6,,5,,1,,,1,2,,,1,2,3,,1,2,3,,,1,2,,,,,2,,,,,1,2,3,6,14,11,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,ネット上、知恵袋で同じ悩みを持っている人がいたら、検索して、その回答を参考にします。,1,4,3,,,,,,,,,,,,8,,,,,,,,3,4,5,6,,,,4,,,,,,,,,,,,,,,,,,3,1,2,3,4,5,7,6,10,12,13,8,14,15,,,,,,,,,,,,,,"狛江市は狛江フェスティバルやお祭り、ビールなど独自のカラーの催しがあって住んでいて楽しい街だなと思っています。都心に近く通勤しやすいので、子育て事業が充実していたらこのままずっとこちらで過ごしていけたらと思っています。事業をよく知らないところもあるのですが、
保育園に入りやすかったり、短時間でも子供を少し預けられたり、ご飯を食べさせてもらえるようなサービスや場所があったら心強いのかなと思いました。"
155,3,1,2,5,,,,1,,5,,1,,,1,3,,,1,3,,,1,3,,,,1,3,,,,,1,,,,,1,2,3,11,5,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,2,4,,,,,,,,,,,,,1,7,8,9,,,,,3,,,,,,,1,3,1,4,8,,,,,12,,,,,,,,,2,1,2,3,4,5,9,8,10,11,12,15,,,,,,,,,,,,,,,,
156,4,1,1,5,,,,1,,3,,1,,,1,5,,,1,,,,1,5,,,,1,,,,,,1,,,,,1,,,,,,,,,,2,1,13,,,,,,,,,,,1,2,,,,,,,1,,,,,,2,,,,,,,4,,,,,,,,,,,,,,9,8,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,9,8,6,10,12,15,,,,,,,,,,,,,,,,,,,,,"・支援に関する所得制限の撤廃
・待機児童の改善
・商業施設の充実"
157,3,2,2,5,,,,1,,5,,1,,,3,,,,,,,,2,,,,,1,,,,,,,,,,,2,3,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,2,3,4,,,,,,12,,,,,,,,,2,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,
158,4,2,2,6,,,,1,,5,,1,,,,,,,2,,,,1,2,,,,2,,,,,,,,,,,1,2,6,,,,,,,,2,1,2,4,,,,,,,,,,1,2,5,,,,,,1,3,2,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,1,10,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,3,2,1,5,,,,1,,5,,1,,,1,2,,,1,,,,1,2,3,,,1,2,3,,,,1,,,,,1,3,11,,,,,,,,4,1,14,,,,,,,,,,,1,1,2,6,,,,,1,2,,,,,1,6,,,,,,1,4,5,3,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,3,1,2,3,4,5,8,7,6,9,10,11,12,13,14,,,,,,,,,,,,,"妊活のための経済的支援
不妊や妊娠したあとの助成はありますが、健康だけどできない人向けの支援はまだあまりない気がします、知らないだけかもしれませんが、、"
160,4,2,1,5,,,,6,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,3,11,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,1,2,3,4,5,8,,,,,,,,,,,,,,,,,,,,,,
161,4,1,1,5,,,,1,,5,,1,,,1,3,,,,,,,1,2,3,,,1,3,6,,,,1,2,3,6,,2,3,6,10,,,,,,,2,1,2,5,12,13,14,15,,,,,,1,6,9,,,,,,1,,,,,,1,6,2,7,4,5,,1,3,4,,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,8,11,13,12,,,,,,,,,,,,,,,,,,,,図書館等の社会学習環境の整備、喫煙所の段階的縮小・廃止等の健康対策
162,5,1,2,7,,,友人とのシェアハウス,1,,3,,1,,,1,2,,,1,,,,2,3,,,,1,,,,,,5,,,,,1,2,11,,,,,,,,2,1,2,3,4,6,8,9,13,15,14,,,2,,,,,,,,,,,,,3,1,,,,,,,1,3,,,,,,,,,,,,,8,9,,,,,,匿名かつ、メールやSNSで相談ができると利用しやすいと思う。相談員は、相談者の希望に沿った年齢と性別の方が担当するべきだと感じる。,1,5,,,,,,3,,,,,,,,,5,3,9,,,,,,,2,2,3,4,5,8,12,13,,,,,,,,,,,,,,,,,,,,高齢者向けのサービスが支援事業が目立つ。若者向けのサービスや優遇措置制度を拡充すべき。
163,4,2,2,6,,,,1,,5,,1,,,,,,,1,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,13,,,,,,,,,,,2,,,,,,,,,,,,,1,7,6,,,,,,4,,,,,,,,,,,,,,5,8,,,,,,平日の夜や土日祝で利用できるようなサービスがあると嬉しいです。,3,,,,,,,3,,,,,,,,,12,,,,,,,,,2,5,8,11,12,,,,,,,,,,,,,,,,,,,,,,,
164,4,1,1,5,,,,1,,5,,2,,,3,,,,2,,,,2,,,,,1,,,,,,2,,,,,1,14,,,,,,,,,4,1,15,13,14,,,,,,,,,2,,,,,,,,,,,,,1,8,,,,,,本当に気の合う友人,1,3,,,,,,,,,,,,,1,,,,,,,,3,1,4,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,5,7,,,,,,,,,若者支援というよりも情報発信が少ないと感じる。
165,4,2,1,5,,,,9,,3,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,2,3,11,,,,,,,2,1,2,13,15,,,,,,,,,1,1,2,3,,,,,2,3,4,,,,1,3,2,,,,,1,3,5,2,,,,,,,,,,,,,,,,,,カフェ感覚で話せて、必要に応じて個室で話せるような場所,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,5,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,気さくに訪ねられる地域コミュニティとして自営をしている人の相談窓口
166,3,3,1,5,,,,1,,5,,1,,,1,3,,,1,3,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,,,,,,,,4,1,3,5,13,15,,,,,,,,2,,,,,,,,,,,,,5,7,,,,,,,1,2,4,,,,,1,2,4,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,15,14,13,12,11,10,9,8,5,3,,,,,,,,,,,,,,,生活費の削減(ゴミ袋の値下げなど)、教育費無償化、子育て支援の充実化
167,4,1,2,6,,,,1,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,2,4,15,13,14,,,,,,,2,,,,,,,,,,,,,5,9,,,,,,,8,,,,,,,1,2,,,,,,,,,,,,,,3,2,,,,,,1,3,,,,,,,,3,10,,,,,,,,2,3,5,12,,,,,,,,,,,,,,,,,,,,,,,,
168,3,1,2,6,,,,1,,5,,1,,,3,,,,,,,,1,3,,,,1,3,,,,,2,3,,,,1,2,,,,,,,,,4,1,8,,,,,,,,,,,1,6,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,4,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4,2,1,5,,,,6,,4,,1,,,1,,,,1,2,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,9,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,9,10,13,12,15,,,,,,,,,,,,,,,,,,,,
170,4,2,2,6,,,,5,,3,,7,4,,1,,,,,,,,1,2,3,,,1,,,,,,,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,4,1,,,,,1,2,6,,,,,8,,,,,,,リーズナブルなスポーツクラブやジム,3,,,,,,,3,,,,,,,,,10,,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,SNS等を使って市の情報や方向性を発信する
171,3,2,1,5,,,,1,,5,,1,,,1,2,,,,,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,4,1,9,13,12,5,,,,,,,,1,2,10,,,,,,1,3,,,,,1,,,,,,,1,3,4,5,,,,,,,,,,,8,,,,,,,カフェ形態のスペース,1,2,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,,私自身は子をもうける予定はありませんが、子供が欲しいのに経済的に難しい人や、保育園などの理由で2人目3人目が難しい人の状況が改善されて欲しいと思います。
172,4,1,2,6,,,,1,,5,,2,,,6,,,,1,2,6,,1,2,6,,,1,2,6,,,,1,2,6,,,1,3,11,,,,,,,,3,1,4,13,14,15,,,,,,,,1,2,1,5,,,,,1,2,,,,,1,6,7,4,5,,,1,2,3,4,6,5,,,,,,,,,8,,,,,,,,2,3,,,,,,1,3,4,5,8,,,,,3,4,,,,,,,,2,1,2,3,4,5,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
173,5,2,2,6,,,,1,,4,,2,,,6,,,,,,,,1,2,3,,,,,,,,,6,,,,,1,,,,,,,,,,3,1,3,2,5,9,13,15,,,,,,2,,,,,,,,,,,,,5,1,7,,,,,,1,3,4,,,,,,,,,,,,4,,,,,,,,3,,,,,,,3,,,,,,,,,12,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,子供を持ち育てる覚悟がない,
174,5,2,2,6,,,,1,,2,,1,,,6,,,,,,,,1,6,,,,1,,,,,,6,,,,,11,15,,,,,,,,本屋,2,1,2,3,4,8,9,11,13,15,,,,2,,,,,,,,,,,,,3,3,1,,,,,,4,5,1,,,,,,,,,,,,9,8,,,,,,,3,,,,,,,1,10,,,,,,,,10,,,,,,,,,2,1,2,3,4,5,6,8,9,10,11,12,13,14,,,,,,,,,,,,,,
175,3,2,1,5,,,,6,,3,,7,,退職したため、就職活動中(選考中),1,2,,,4,,,,1,2,,,,1,4,,,,,1,2,,,,1,3,11,,,,,,,,2,1,9,13,15,14,,,,,,,,1,1,7,9,,,,,1,2,3,,,,4,5,7,,,,,5,4,7,,,,相談室のような場,,,,,,,,,,,,,,,障害者向けのメンタルケアや生活相談,1,2,3,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,4,5,6,9,10,,,,発達障害遺伝の心配。キャパシティオーバーへの不安、自身の特性で無責任な行動へつながる心配。,年金・税金等金銭関係のアドバイス、就労支援や近隣病院の案内。個人例として、ADHDを診察出来る病院が自分ではあまり見つけられずもっと知りたいと感じた。市が直接でなくても、アドバイスをする機関の紹介でも構いません。
176,3,1,1,5,,,,1,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,5,6,7,8,9,13,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,,,,,1,3,2,4,5,,,,,,,,,,,,,,,,,,2,3,,,,,,4,,,,,,,,,,,,,,,,,,2,8,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,
177,3,2,2,6,,,,1,,5,,1,,,3,5,,,1,,,,2,3,5,,,1,3,,,,,1,2,,,,1,8,,,,,,,,,4,1,3,13,,,,,,,,,,2,,,,,,,,,,,,,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,3,,,,,,,3,,,,,,,,相手がまだ学生であり遠距離在住のため。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,2,2,6,,,,1,,3,,2,,,3,5,,,5,,,,3,5,,,,5,,,,,,5,,,,,1,6,13,,,,,,,,2,1,15,14,13,12,,,,,,,,1,2,,,,,,,1,3,,,,,3,2,1,,,,,2,3,4,5,,,,,,,,,,,,,,,,,,"場所やサービスがあったとして、結果が出るかどうかは結局はそこに配属される人物によると思う。
公的な機関に相談しても、窓口の人が『若年女性に対して夜の仕事を勧める』『どんなものがあるか熟知しておらず支援に繋がらなかった』『問題を過小評価して話を聞いてくれなかった』と言う事例はよく聞くし、私自身も体験しました。
(私の場合は失業時に家賃を支援してもらえる対象であったにも関わらず、窓口の男性から案内がなかった為に支援を受けられなかった。その対象であった事はその後に別の窓口の女性から指摘されて気付きました)

知識に乏しい若年層の支援については殊更、窓口に配属される人物は相談者に寄り添える人であり、尚且つその人物が全ての支援項目を網羅していなくても相談者が対象者として該当する支援を絞り込めるようなシステムがないと難しいなと思います。
私に案内出来なかった男性職員も、知らなかっただけで故意に案内しなかったわけではないでしょうから。",3,4,,,,,,2,,,,,,,,,1,2,3,4,5,6,8,9,,0,,,,,,,,,,,,,,,,こんなにも子どもを対象とした事件が多い中で子どもを持ちたいとは思えない。日本はトップの政治家が小児性愛者、児童虐待加害者、レイプ加害者であるので刑罰が軽い。こんな世の中に産んでしまったら子どもに申し訳ない。,1,3,4,5,6,7,8,9,,,"少子化対策をしたいなら、とにかく根本からクリーンな政治、弱者に寄り添える社会づくりを徹底して欲しい。
安心して生きていける世の中をつくり、今を生きている人たちの幸福度を底上げすれば自ずと出生率は上がる。
まあでも、男尊女卑、反日カルト、人権意識と知能が低い事が条件になっている自民党議員達が居る限り無理だと思っている。"
179,3,2,1,5,,,,6,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,2,8,10,11,13,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,,,,,1,2,4,,,,,,,,,,,,8,,,,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,5,3,4,6,7,8,9,10,11,15,,,,,,,,,,,,,,,
180,4,1,2,6,,,,1,,5,,1,,,3,,,,2,,,,2,,,,,1,,,,,,2,,,,,1,11,,,,,,,,,3,1,4,13,15,11,12,14,,,,,,2,,,,,,,,,,,,,5,9,,,,,,,8,,,,,,,1,,,,,,,,,,,,,,,1,2,4,,,,,1,3,4,7,8,,,,,10,,,,,,,,,2,1,2,3,5,6,8,10,11,12,15,,,,,,,,,,,,,,,,,
181,3,2,2,,,,,1,,3,,2,,,2,3,,,3,,,,1,2,3,4,,1,2,3,,,,1,3,,,,1,2,5,6,7,8,11,13,14,,5,1,4,8,11,13,,,,,,,,2,,,,,,,,,,,,,4,2,7,1,,,,,3,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,1,8,10,,,,,,,0,,,,,,,,,,,,,,,,,4,2,1,6,7,8,,,,,経済的支援、補助金
182,2,2,2,6,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,,,,,,,,,3,1,2,,,,,,,,,,,1,1,2,,,,,,1,2,,,,,1,,,,,,,4,1,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,1,4,8,,,,,,,3,,,,,,,,,2,1,5,6,10,,,,,,,,,,,,,,,,,,,,,,,
183,4,1,1,5,7,,子供,1,,5,,1,,,1,2,,,1,,,,1,2,3,,,1,3,,,,,1,2,,,,1,3,,,,,,,,,4,1,13,14,15,,,,,,,,,2,,,,,,,,,,,,,5,2,,,,,,,2,3,4,5,6,,,,,,,,,,10,,,,,,どれも存じ上げない,育児パパが集まる場所。,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,5,6,8,10,12,15,,,,,,,,,,,,,,,,,同世代の増加施策。
184,5,1,2,7,,,彼女,1,,4,,1,,,3,6,,,3,6,,,3,6,,,,3,6,,,,,3,6,,,,1,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,5,3,,,,,,,,,,,,,,,,,,,,3,4,,,,,,1,3,2,5,8,4,,,,4,,,,,,,,,2,1,2,3,4,5,9,8,10,11,12,13,14,15,,,,,,,,,,,,,,補助金の充実。
185,3,2,2,5,,,,6,,4,,1,,,1,2,5,,2,5,,,1,2,3,4,5,1,2,5,,,,2,5,,,,1,2,3,6,10,11,,,,,4,1,4,8,11,13,,,,,,,,1,5,,,,,,,1,,,,,,1,,,,,,,1,5,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,1,3,5,7,8,,,,,11,,,,,,,,相手が結婚に乗り気でないから,2,1,2,8,9,10,11,12,13,,,,,,,,,,,,,,,,,,,
186,4,2,2,6,,,,1,,3,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,16,,,,,,,,,,3,1,14,15,13,,,,,,,,,1,1,,,,,,,1,,,,,,9,,,,,,,1,3,5,,,,,1,8,,,,,,8,9,,,,,,プライバシー保護がきちんとできるパーティション等完備、防音完備、観葉植物,1,3,,,,,,3,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
