"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業","ｕＶｕ‐ｌａ合同会社","東京都港区南青山五丁目6番4号","ハイトリオ","03-6822-2124","3港み生機器第213号","2022/2/15"
"高度管理医療機器販売業・貸与業","有限会社中嶋製作所","東京都港区南青山五丁目9番3号",,"03-3400-3407","4港み生機器第213号","2023/4/1"
"高度管理医療機器販売業・貸与業","ＰＡＲＩＳ　ＭＩＫＩ　ＤＩＧＮＡ　ＨＯＵＳＥ　Ａｕｄｉｏ　ｓｔｕｄｉｏ","東京都港区南青山五丁目10番2号","第2九曜ビル104号","03-6805-1350","2港み生機器第186号","2021/4/8"
"高度管理医療機器販売業・貸与業","有限会社アマノ・グッズ","東京都港区南青山五丁目10番19号","真洋ビル7階","03-3409-8646","3港み生機器第140号","2021/10/28"
"高度管理医療機器販売業","株式会社バイオテクノロジービューティー","東京都港区南青山五丁目10番19号","青山真洋ビル","03-5778-9805","31港み生機器第109号","2019/9/18"
"高度管理医療機器販売業","株式会社ＫＯＮＮＥＫＴ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ","東京都港区南青山五丁目13番1号","NO42 ARAI Building","03-5778-9852","3港み生機器第44号","2021/5/31"
"高度管理医療機器販売業","株式会社イデアル","東京都港区南青山五丁目16番5号","MAFIVE","03-5468-0122","3港み生機器第76号","2021/7/7"
"高度管理医療機器販売業・貸与業","株式会社ヘリオス・ジャポン","東京都港区南青山五丁目17番6号","青山グリーンハイツ303","03-6892-3388","2港み生機器第103号","2020/12/8"
"高度管理医療機器販売業・貸与業","有限会社エヌ・エスメディコ","東京都港区南青山六丁目2番2号","南青山ホームズ206","03-3400-3855","30港み生機器第224号","2019/4/17"
"高度管理医療機器販売業・貸与業","株式会社イディア","東京都港区南青山六丁目8番3号","3階","03-3499-7161","31港み生機器第151号","2019/12/23"
"高度管理医療機器販売業・貸与業","株式会社シップ","東京都港区南青山六丁目12番1号","TTS南青山ビル3階","03-5466-2777","30港み生機器第195号","2019/2/7"
"高度管理医療機器販売業・貸与業","株式会社メディデント","東京都港区南青山六丁目13番5号","ポルトポヌール",,"4港み生機器第14号","2022/4/26"
"高度管理医療機器販売業・貸与業","株式会社ピーディーエス","東京都港区南青山七丁目5番16号","第2高樹町ハイツ303","03-6427-4256","29港み生機器第226号","2018/4/6"
"高度管理医療機器販売業・貸与業","株式会社Ｓｉｅｍｐｒｅｙ","東京都港区南青山七丁目13番13‐301号",,,"30港み生機器第3号","2018/4/9"
"高度管理医療機器販売業・貸与業","広尾中央薬局","東京都港区南青山七丁目14番6号","本間ビル","03-5774-0630","4港み生機器第328号","2023/4/1"
"高度管理医療機器販売業・貸与業","日生薬局　広尾店","東京都港区南青山七丁目14番7号","西川ビル1階","03-5469-8851","4港み生機器第309号","2023/4/1"
"高度管理医療機器販売業","広尾調剤薬局","東京都港区南青山七丁目14番7号","小寺ビル1階","03-5468-8931","3港み生機器第113号","2021/11/1"
"高度管理医療機器販売業・貸与業","アガペ広尾薬局","東京都港区南青山七丁目14番8号",,"03-6427-2978","2港み生機器第53号","2020/11/1"
"高度管理医療機器販売業・貸与業","日本調剤　麻布十番薬局","東京都港区南麻布一丁目6番36号",,"03-5730-0563","2港み生機器第17号","2020/7/17"
"高度管理医療機器販売業・貸与業","株式会社エムオーシー","東京都港区南麻布一丁目17番3号",,"03-3452-0348","4港み生機器第66号","2022/7/5"
"高度管理医療機器販売業","クオール薬局　古川橋店","東京都港区南麻布二丁目10番19号","ボヌール南麻布101号室","03-3798-4789","30港み生機器第90号","2018/10/1"
"高度管理医療機器販売業・貸与業","株式会社タマリクス","東京都港区南麻布二丁目13番12号","EM南麻布ビル203号室","03-6381-7505","5港み生機器第98号","2023/9/26"
"高度管理医療機器販売業・貸与業","株式会社アルタデント　東京支社","東京都港区南麻布二丁目14番19号","オキノビル","03-5420-2290","31港み生機器第101号","2019/10/22"
"高度管理医療機器販売業","株式会社ファイブセンス","東京都港区南麻布三丁目20番1号","Daiwa麻布テラス5階","03-5843-8622","3港み生機器第148号","2021/11/16"
"高度管理医療機器販売業・貸与業","フィネクトパートナーズ株式会社","東京都港区南麻布三丁目21番17号","BCityTowerAZABUTOKYO2F","03-6277-1727","2港み生機器第176号","2021/3/29"
"高度管理医療機器販売業・貸与業","子安薬局　広尾ガーデン店","東京都港区南麻布四丁目1番29号","広尾ガーデン1階","03-3446-4701","4港み生機器第331号","2023/4/1"
"高度管理医療機器販売業・貸与業","カーム調剤薬局　ありす店","東京都港区南麻布四丁目6番1号","1階","03-5422-6194","4港み生機器第89号","2022/8/4"
"高度管理医療機器販売業","ゆりの木薬局　南麻布店","東京都港区南麻布四丁目11番30号","南麻布渋谷ビル6階","03-5422-9935","5港み生機器第153号","2024/2/1"
"高度管理医療機器販売業・貸与業","株式会社イメージマジック","東京都港区南麻布四丁目13番1号","サウス麻布アネックス101","03-5422-8010","31港み生機器第187号","2020/2/19"
"高度管理医療機器販売業・貸与業","レイテストメディカルラボ株式会社","東京都港区南麻布五丁目1番8号","山田ビル","03-6876-4065","30港み生機器第116号","2018/10/3"
"高度管理医療機器販売業","ウエルシア薬局南麻布店","東京都港区南麻布五丁目1番11号","1F","03-5793-1271","3港み生機器第79号","2021/7/7"
"高度管理医療機器販売業・貸与業","南麻布調剤薬局","東京都港区南麻布五丁目2番37号","デペッシュモード4階","03-6277-0037","3港み生機器第214号","2022/2/25"
"高度管理医療機器販売業・貸与業","株式会社ＬＩＦＥＳＣＡＰＥＳ","東京都港区南麻布五丁目2番37号","デペッシュモード","03-6459-2788","4港み生機器第286号","2023/2/20"
"高度管理医療機器販売業・貸与業","プレミアハートジャパン株式会社","東京都港区南麻布五丁目3番3号","串山ビル401号","03-5422-8778","3港み生機器第174号","2022/1/22"
"高度管理医療機器販売業・貸与業","レネロファーマ株式会社","東京都港区南麻布五丁目10番24号","第二佐野ビル2F","03-6277-0897","3港み生機器第42号","2021/5/28"
"高度管理医療機器販売業・貸与業","株式会社ｇｏｓｈ","東京都港区南麻布五丁目10番24号","第二佐野ビル503号",,"4港み生機器第81号","2022/7/8"
"高度管理医療機器販売業","クオール薬局　広尾駅前店","東京都港区南麻布五丁目10番25号","1階","03-6277-4689","30港み生機器第91号","2018/10/1"
"高度管理医療機器販売業","株式会社エステティクス","東京都港区元赤坂一丁目2番7号","赤坂Kタワー4階","03-6890-3028","2港み生機器第74号","2020/9/16"
"高度管理医療機器販売業","ファイン薬局　元赤坂","東京都港区元赤坂一丁目5番1号","宮永ビル1階","03-5413-6070","3港み生機器第71号","2021/6/22"
"高度管理医療機器販売業・貸与業","テクノロジー＆リサーチジャパン株式会社","東京都港区元赤坂一丁目6番2号","安全ビル19階","03-6804-6551","4港み生機器第314号","2023/3/15"
"高度管理医療機器販売業・貸与業","カイメックス株式会社","東京都港区元赤坂一丁目6番2号","安全ビル19階","03-6743-3978","4港み生機器第315号","2023/3/15"
"高度管理医療機器販売業・貸与業","綜合警備保障株式会社本社","東京都港区元赤坂一丁目6番6号","安全ビル","03-3402-7575","5港み生機器第139号","2023/12/8"
"高度管理医療機器販売業・貸与業","鹿島リース株式会社　本店","東京都港区元赤坂一丁目6番6号","安全ビル","03-5474-9210","4港み生機器第123号","2022/9/26"
"高度管理医療機器販売業","佐藤製薬株式会社　ＡＨＣ３オフィス","東京都港区元赤坂一丁目7番8号","ヒルクレスト373ビル1階",,"3港み生機器第90号","2021/8/12"
"高度管理医療機器販売業・貸与業","ＡＬＬ有限会社ドムス営業所","東京都港区元麻布二丁目11番17号","ドムス元麻布105","090-9977-8652","4港み生機器第126号","2022/11/4"
"高度管理医療機器販売業・貸与業","株式会社対がん戦略研究所","東京都港区元麻布三丁目1番35号","VORT元麻布7階","03-6892-1477","2港み生機器第91号","2020/10/30"
"高度管理医療機器販売業","クーパービジョン・ジャパン株式会社　東京オフィス","東京都港区六本木一丁目4番5号","アークヒルズ サウスタワー",,"30港み生機器第19号","2018/5/7"
"高度管理医療機器販売業・貸与業","株式会社サワムラ","東京都港区六本木一丁目5番3-2903号",,"03-3589-4120","4港み生機器第64号","2022/6/20"
"高度管理医療機器販売業","薬樹薬局　六本木泉ガーデン","東京都港区六本木一丁目6番1号","泉ガーデンタワー4階","03-3568-3370","4港み生機器第107号","2022/11/1"
"高度管理医療機器販売業・貸与業","ＳＢＩファーマ株式会社","東京都港区六本木一丁目6番1号",,"03-6229-0095","31港み生機器第96号","2019/9/12"
"高度管理医療機器販売業・貸与業","株式会社エース","東京都港区六本木一丁目6番1号","泉ガーデンタワー37階","03-6280-3140","30港み生機器第122号","2018/10/22"
"高度管理医療機器販売業・貸与業","有限会社ケイ・ディ・エム","東京都港区六本木一丁目7番10号","パークコート六本木ヒルトップ 1604号","03-6441-2448","30港み生機器第140号","2018/12/17"
"高度管理医療機器販売業・貸与業","株式会社横浜ボイスセンター","東京都港区六本木一丁目9番18号","アークヒルズ仙石山レジデンス","03-6826-0344","2港み生機器第62号","2020/10/3"
"高度管理医療機器販売業・貸与業","セブンシップサービス株式会社","東京都港区六本木二丁目2番6号","福吉町ビル6F","050-3825-6781","3港み生機器第137号","2021/10/15"
"高度管理医療機器販売業・貸与業","合同会社ＤＭＭ．ｃｏｍ","東京都港区六本木三丁目2番1号","住友不動産六本木グランドタワー",,"3港み生機器第220号","2022/2/22"
"高度管理医療機器販売業","株式会社ベルリング","東京都港区六本木三丁目2番1号","住友不動産六本木グランドタワー","03-6807-4467","4港み生機器第119号","2022/9/27"
"高度管理医療機器販売業・貸与業","株式会社Ｌｉｆｅ＆Ｔａｉｌ","東京都港区六本木三丁目2番1号","六本木グランドタワー36階","03-6278-7127","4港み生機器第199号","2022/12/20"
"高度管理医療機器販売業・貸与業","株式会社サン・スマイル","東京都港区六本木三丁目5番27号","六本木山田ビル","03-3505-4430","5港み生機器第187号","2024/2/9"
"高度管理医療機器販売業","ドン・キホーテ　六本木店","東京都港区六本木三丁目14番10号",,"0570-010-831","31港み生機器第133号","2019/12/2"
"高度管理医療機器販売業・貸与業","株式会社日本在宅ケア教育研究所","東京都港区六本木三丁目15番7号","ドミパルファンビル102","03-5549-2878","2港み生機器第122号","2021/1/27"
"高度管理医療機器販売業・貸与業","データフィットネス六本木","東京都港区六本木三丁目16番33号","青葉六本木ビルB1階",,"30港み生機器第168号","2018/12/20"
"高度管理医療機器販売業・貸与業","メディカル六本木営業所","東京都港区六本木四丁目1番16号","六本木ハイツ2階","03-5575-2180","2港み生機器第164号","2021/4/1"
"高度管理医療機器販売業・貸与業","フランスベッド株式会社　法人首都圏営業所","東京都港区六本木四丁目1番16号","六本木ハイツ1階","03-6772-2950","4港み生機器第31号","2022/5/25"
"高度管理医療機器販売業・貸与業","株式会社国際医療協力機構","東京都港区六本木四丁目8番7号","六本木三河台ビル","03-6890-3512","3港み生機器第234号","2022/3/10"
"高度管理医療機器販売業・貸与業","東通産業株式会社","東京都港区六本木五丁目13番11号",,"03-5572-7912","5港み生機器第121号","2023/10/2"
"高度管理医療機器販売業・貸与業","日本調剤　六本木薬局","東京都港区六本木六丁目1番20号","六本木電気ビル2階","03-5772-3940","30港み生機器第181号","2019/2/22"
"高度管理医療機器販売業","薬マツモトキヨシ　六本木店","東京都港区六本木六丁目1番26号",,"03-3470-6244","5港み生機器第169号","2024/3/28"
"高度管理医療機器販売業・貸与業","ダイナメディックジャパン株式会社","東京都港区六本木六丁目2番31号","六本木ヒルズノースタワー","03-3796-5525","4港み生機器第38号","2022/6/12"
"高度管理医療機器販売業・貸与業","株式会社スマートリンク","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー","03-6894-9367","2港み生機器第133号","2021/2/3"
"高度管理医療機器販売業","エアバス・ヘリコプターズ・ジャパン株式会社","東京都港区六本木六丁目10番1号",,,"30港み生機器第18号","2018/4/23"
"高度管理医療機器販売業・貸与業","日本調剤ケイリバー薬局","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー6階","03-5413-5551","2港み生機器第33号","2020/7/1"
"高度管理医療機器販売業","ＢＥＡＵＴＥＸ株式会社","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー","03-6807-4324","4港み生機器第88号","2022/8/4"
"高度管理医療機器販売業・貸与業","薬局トモズ　六本木ヒルズ店","東京都港区六本木六丁目10番3号","六本木ヒルズウェストウォーク1階","03-5786-7717","4港み生機器第228号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社ＴＨＣビューティーコーポレーション","東京都港区六本木六丁目11番2号","六本木ヒルズゲートタワー1002号室","03-3478-7433","30港み生機器第39号","2018/6/5"
"高度管理医療機器販売業・貸与業","株式会社パイオニア・アイ・ケア","東京都港区六本木七丁目8番9号",,"03-5786-1585","2港み生機器第101号","2020/12/5"
"高度管理医療機器販売業・貸与業","ＫＯＢＥホワイトニング株式会社","東京都港区六本木七丁目11番9号","1階","03-6434-5022","30港み生機器第124号","2018/10/17"
"高度管理医療機器販売業・貸与業","子安薬局","東京都港区六本木七丁目14番7号",,"03-3401-8667","4港み生機器第332号","2023/4/1"
"高度管理医療機器販売業・貸与業","スギ薬局　六本木店","東京都港区六本木七丁目14番10号","誠志堂ビル2階","03-5843-1361","31港み生機器第139号","2019/11/27"
"高度管理医療機器販売業・貸与業","スギドラッグ　六本木店","東京都港区六本木七丁目14番10号","誠志堂ビル","03-5843-1361","31港み生機器第140号","2019/11/27"
"高度管理医療機器販売業","ＡＫ４－ＭＥＤＩＣＡＬ株式会社","東京都港区六本木七丁目15番10号","A7ビル5F","03-6721-1109","2港み生機器第177号","2021/3/29"
"高度管理医療機器販売業","鴨下アイメディカル","東京都港区六本木七丁目15番14号","塩業ビル","03-3402-6660","4港み生機器第282号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社プラトンセンス","東京都港区六本木七丁目17番10‐203号",,"090-1544-6862","30港み生機器第225号","2019/3/15"
"高度管理医療機器販売業・貸与業","株式会社ソフトテック六本木営業所","東京都港区六本木七丁目20番2号","アバンティ","03-5772-8901","4港み生機器第258号","2023/4/1"
"高度管理医療機器販売業・貸与業","有限会社アイコンタクト","東京都港区六本木七丁目21番6号",,"03-3401-3455","31港み生機器第75号","2019/8/23"

"高度管理医療機器販売・貸与業一覧(令和6年3月31日現在)","Ver202403",,,,,
