"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"鷺宮すこやか福祉センター","中野区若宮3-58-10","03-3336-7111","03-3336-7134","saginomiyasukoyaka@city.tokyo-nakano.lg.jp","午前８時３０分～午後１０時","年末年始および清掃日等","","有","","有","有","有","","114","自動ドア","有","","有","有","有","有","無","無","有","","有","88","手動（引き戸）","164/190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","98","168/133","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","有","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.64013214158","35.7220648348058","医療・保健福祉施設"
"若宮オリーブ公園","中野区若宮3-57","","","","","","","有","","無","無","有","","90","-","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","240/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.640263908606","35.7198986055092","文化・レクリエーション・レジャー施設"
"若宮児童館","中野区若宮3-54-7","03-3330-7899","03-3330-7860","wakamiyajidoukan@city.tokyo-nakano.lg.jp","火～金10:00～6:00、土･学校休業日9:00～5:00","日・月","出入口のスロープは非常口にあるため、ご利用の際は職員にお声掛けください。","有","","有","有","有","","72","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","無","有","","無","有","無","無","有","","無","無","無","無","無","有","無","有","","有","139.640835209112","35.7201935237937","教育機関"
"かしの木公園","中野区若宮3-52","","","","","","","有","","無","無","有","","165","-","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","240/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.641969647772","35.7202578030461","文化・レクリエーション・レジャー施設"
"鷺宮児童館","中野区鷺宮3-40-13","03-3337-8430","03-3337-8429","saginomiyajidoukan@city.tokyo-nakano.lg.jp","平日（火～金）10:00～18:00　土曜日・学校休業日9:00～17:00","日・月・祝日・年末年始","","有","","有","無","有","","80","手動（引き戸）","有","","無","無","無","有","無","無","有","","無","60","手動（引き戸）","60/130","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","無","有","","無","有","無","無","","","無","有","無","無","無","無","無","有","","有","139.642148389223","35.7245616231464","教育機関"
"鷺宮学童クラブ","中野区鷺宮3-40-13　鷺宮児童館内","03-3337-8430","03-3337-8429","","月曜日～金曜日、授業のある土曜日 下校後～午後7時、授業のない土曜日・学校休業日 午前8時～午後7時","日・祝日・年末年始","","有","","有","無","有","","80","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","有","","無","有","無","無","有","","無","有","無","無","無","無","有","有","","有","139.642148389223","35.7245616231464","教育機関"
"若宮高齢者会館","中野区大和町4-51-11","03-3338-2222","03-3338-2222","","午前９時～午後５時","土・日曜日、祝日、年末年始","","有","","有","有","有","","90","自動ドア","有","","有","有","有","無","無","無","有","","有","88","手動（引き戸）","185/180","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","130/110","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.643037488702","35.7154511215437","医療・保健福祉施設"
"若宮公園","中野区若宮3-21","","","","","","","有","","無","有","有","","120","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","185/305","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","無","有","無","無","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","無","無","有","有","無","有","有","","無","139.643522740408","35.7216127537327","文化・レクリエーション・レジャー施設"
"西大和公園","中野区大和町4-50","","","","","","","有","","無","有","有","","110","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","270/210","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.643784574638","35.714767508984","文化・レクリエーション・レジャー施設"
"中野若宮郵便局","中野区若宮3-37-10","03-3338-9782","","","9:00～17：00","土・日・祝日","","有","","無","無","有","","90","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","","","無","139.644857102027","35.7208036136293","郵便局"
"西武新宿線都立家政駅","中野区鷺宮1-16-1","03-3330-1546","","","4：43～翌0：33","","","有","","無","無","有","","400","-","有","","有","有","有","有","無","有","有","","有","-","自動ドア","","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","有","有","有","有","有","有","","有","139.644957338417","35.722368702291","公共交通施設"
"美鳩学童クラブ","中野区大和町4-26-5","03-3330-5921","03-3330-5922","","月曜日～金曜日、授業のある土曜日 下校後～午後7時、授業のない土曜日・学校休業日 午前8時～午後7時","日曜日、祝日、年末年始(12月29日～1月3日)","","有","","無","無","有","","110","自動ドア","有","","有","有","有","無","無","無","有","","無","93","手動（引き戸）","120/185","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.64504109936","35.7144758427412","教育機関"
"キッズ・プラザ美鳩","中野区大和町4-26-5","03-3330-5921","03-3330-5922","","月曜日～金曜日、授業のある土曜日：授業終了後～午後６時、授業のない土曜日：午前8時30分～午後6時","日曜日、祝日(こどもの日を除く)、年末年始(12月29日～1月3日)","","有","","無","無","有","","110","自動ドア","有","","有","有","有","無","無","無","有","","無","93","手動（引き戸）","120/185","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.64504109936","35.7144758427412","教育機関"
"美鳩小学校","中野区大和町4-26-5","03-3330-1425","03-3330-1426","nk-mihato-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","無","有","有","","180","手動（開き戸）","有","","有","有","有","有","無","有","有","","無","90","手動（引き戸）","210/235","有","無","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","200/210","無","無","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","145/215","無","無","有","","有","有","有","有","90","140/140","有","有","有","","","無","-","有","","有","無","有","有","有","","有","1","無","","","無","無","無","","","無","無","無","無","有","","有","有","無","無","無","有","有","有","","有","139.64504109936","35.7144758427412","教育機関"
"中央図書館美鳩小学校分室","中野区大和町4-26-5","03-3330-8160","03-3330-8160","toshokan@nakano-library.jp","10:00～19:00","月・水・金（小学校の長期休業期間および祝日を除く）、中央図書館の休館日","","有","","無","無","有","","142","自動ドア","有","","有","有","有","有","無","無","有","","無","94","手動（引き戸）","216/212","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","有","無","有","","無","無","有","有","有","","有","有","無","無","無","有","無","有","","有","139.64504109936","35.7144758427412","文化・レクリエーション・レジャー施設"
"大和西児童館","中野区大和町4-14-9","03-3330-5399","03-3330-5398","yamatonisijidoukan@city.tokyo-nakano.lg.jp","火曜日～金曜日 午前10時～午後6時、土曜日・学校休業日 午前9時～午後5時","月曜日、日曜日、祝日、年末年始(12月29日～1月3日)","・障害がある方の駐車については、事前にご相談ください。
・おむつ交換台はありませんが、床にマットをひいての対応は可能です。","有","","有","無","有","","70","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","無","無","有","","無","有","有","無","","","無","無","無","無","無","無","無","有","","有","139.646408927044","35.7144262329845","教育機関"
"大和学童クラブ","中野区大和町4-14-9　大和西児童館内","03-3330-5399","03-3330-5398","","月曜日～金曜日、授業のある土曜日 下校後～午後7時、授業のない土曜日・学校休業日 午前8時～午後7時","日曜日、祝日、年末年始(12月29日～1月3日)","","有","","有","無","有","","75","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.646408927044","35.7144262329845","教育機関"
