49 ,足立越谷線,足立区西保木間4-14-22,40730 ,645 ,"1,758 ",438 ,      －,      －,      －,      －,"7,939 ","1,735 ","9,674 ",17.9 ,924 ,9.6 ,1.32 ,0.41 ,40710 ,"11,521 ",0.84 ,15.5 ,18.5 ,9月16日(木),晴,国土交通省,49 ,足立越谷線,40730 ,
50 ,東京市川線,中央区築地5-5-6,40740 ,"2,736 ","1,902 ","1,921 ",      －,      －,      －,      －,"23,192 ","4,033 ","27,225 ",14.8 ,"2,546 ",9.4 ,1.39 ,0.98 ,40720 ,"22,928 ",1.19 ,14.0 ,20.5 ,9月28日(火),曇,国土交通省,50 ,東京市川線,40740 ,
50 ,東京市川線,江東区新大橋1-6,40760 ,"2,696 ","2,853 ","1,014 ",      －,      －,      －,      －,"15,043 ","1,546 ","16,589 ",9.3 ,"1,520 ",9.2 ,1.36 ,1.07 ,40730 ,"19,146 ",0.87 ,17.6 ,17.5 ,9月28日(火),曇,国土交通省,50 ,東京市川線,40760 ,
50 ,東京市川線,墨田区菊川2-8-9,40770 ,"2,188 ",960 ,971 ,      －,      －,      －,      －,"14,347 ","1,661 ","16,008 ",10.4 ,"1,574 ",9.8 ,1.34 ,0.90 ,40740 ,"16,053 ",1.00 ,18.1 ,18.3 ,9月14日(火),曇,国土交通省,50 ,東京市川線,40770 ,
50 ,東京市川線,江東区住吉1-17-18,40780 ,"2,976 ","1,674 ","1,198 ",      －,      －,      －,      －,"13,382 ","1,616 ","14,998 ",10.8 ,"1,434 ",9.6 ,1.34 ,0.89 ,40750 ,"14,884 ",1.01 ,24.2 ,15.0 ,11月11日(木),晴,国土交通省,50 ,東京市川線,40780 ,
50 ,東京市川線,江東区大島9,40790 ,242 ,425 ,871 ,      －,      －,      －,      －,"15,196 ","1,997 ","17,193 ",11.6 ,"1,818 ",10.6 ,1.35 ,1.04 ,40760 ,"17,553 ",0.98 ,50.5 ,48.7 ,9月14日(火),曇,国土交通省,50 ,東京市川線,40790 ,
50 ,東京市川線,江戸川区江戸川3-54,40810 ,553 ,"2,067 ","2,085 ",      －,      －,      －,      －,"18,320 ","2,993 ","21,313 ",14.0 ,"2,279 ",10.7 ,1.38 ,0.94 ,40780 ,"22,424 ",0.95 ,53.8 ,48.3 ,9月14日(火),曇,国土交通省,50 ,東京市川線,40810 ,
54 ,松戸草加線,葛飾区水元公園54,40840 ,224 ,"1,100 ",286 ,      －,      －,      －,      －,"5,344 ","1,230 ","6,574 ",18.7 ,637 ,9.7 ,1.30 ,0.63 ,40790 ,"7,572 ",0.87 ,10.4 ,28.1 ,9月16日(木),晴,国土交通省,54 ,松戸草加線,40840 ,
58 ,台東川口線,台東区根岸2-19-24,40850 ,"3,108 ","2,172 ",711 ,      －,      －,      －,      －,"9,894 ","1,735 ","11,629 ",14.9 ,"1,075 ",9.2 ,1.34 ,0.88 ,40800 ,"14,537 ",0.80 ,22.4 ,17.3 ,10月7日(木),曇,国土交通省,58 ,台東川口線,40850 ,
58 ,台東川口線,荒川区西日暮里6-52-4,40860 ,"2,506 ","1,721 ","1,122 ",      －,      －,      －,      －,"15,479 ","2,476 ","17,955 ",13.8 ,"1,596 ",8.9 ,1.36 ,1.33 ,40810 ,"19,030 ",0.94 ,13.5 ,6.4 ,10月21日(木),曇,国土交通省,58 ,台東川口線,40860 ,
58 ,台東川口線,荒川区東尾久4-1,40870 ,"1,886 ","2,921 ","1,023 ",      －,      －,      －,      －,"17,294 ","3,814 ","21,108 ",18.1 ,"2,109 ",10.0 ,1.39 ,1.32 ,40820 ,"22,887 ",0.92 ,7.7 ,11.1 ,10月21日(木),曇,国土交通省,58 ,台東川口線,40870 ,
58 ,台東川口線,荒川区東尾久8-25,40880 ,845 ,"3,309 ","1,299 ",      －,      －,      －,      －,"23,507 ","3,830 ","27,337 ",14.0 ,"2,496 ",9.1 ,1.41 ,1.44 ,40830 ,"26,919 ",1.02 ,26.2 ,10.4 ,10月21日(木),曇,国土交通省,58 ,台東川口線,40880 ,
58 ,台東川口線,足立区舎人4-11-24,40900 ,"1,269 ","2,250 ",592 ,      －,      －,      －,      －,"14,095 ","2,349 ","16,444 ",14.3 ,"1,735 ",10.6 ,1.33 ,1.17 ,40850 ,"16,271 ",1.01 ,19.3 ,20.0 ,9月16日(木),晴,国土交通省,58 ,台東川口線,40900 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"18,619 ","3,310 ","21,929 ",15.1 ,,,,,,"23,006 ",0.95 ,,,,,,,,,
60 ,市川四つ木線,江戸川区西小岩3-1,40920 ,669 ,"2,192 ",838 ,      －,      －,      －,      －,"9,680 ",933 ,"10,613 ",8.8 ,"1,254 ",11.8 ,1.30 ,1.56 ,40870 ,"8,484 ",1.25 ,24.0 ,16.0 ,9月14日(火),曇,国土交通省,60 ,市川四つ木線,40920 ,
67 ,葛飾吉川松伏線,葛飾区西水元6-23,40940 ,200 ,"1,294 ",633 ,      －,      －,      －,      －,"10,976 ","1,444 ","12,420 ",11.6 ,"1,224 ",9.9 ,1.33 ,1.26 ,40890 ,"12,952 ",0.96 ,11.3 ,13.0 ,9月16日(木),晴,国土交通省,67 ,葛飾吉川松伏線,40940 ,
68 ,練馬川口線,練馬区土支田1-29,40960 ,610 ,"1,710 ","1,227 ",      －,      －,      －,      －,"23,087 ","7,124 ","30,211 ",23.6 ,"2,746 ",9.1 ,1.42 ,1.84 ,40910 ,"30,364 ",0.99 ,16.0 ,12.4 ,11月17日(水),晴,国土交通省,68 ,練馬川口線,40960 ,
301 ,白山祝田田町線,文京区本郷1,40980 ,"44,000 ","3,855 ","1,225 ",      －,      －,      －,      －,"18,906 ","2,305 ","21,211 ",10.9 ,"1,970 ",9.3 ,1.40 ,1.15 ,40930 ,"24,904 ",0.85 ,11.8 ,18.0 ,11月16日(火),曇,国土交通省,301 ,白山祝田田町線,40980 ,
301 ,白山祝田田町線,港区西新橋1-1-3,40990 ,"9,999 ","1,174 ",498 ,      －,      －,      －,      －,"11,178 ",295 ,"11,473 ",2.6 ,"1,071 ",9.3 ,1.34 ,0.50 ,40940 ,"14,653 ",0.78 ,13.8 ,21.8 ,9月28日(火),曇,国土交通省,301 ,白山祝田田町線,40990 ,
301 ,白山祝田田町線,港区愛宕2-3,41000 ,"4,185 ","1,187 ",670 ,"8,982 ","2,498 ",130 ,966 ,"11,480 ","1,096 ","12,576 ",8.7 ,"1,177 ",9.4 ,1.34 ,0.69 ,40950 ,"14,278 ",0.88 ,21.0 ,15.9 ,11月11日(木),晴,東京都,301 ,白山祝田田町線,41000 ,
302 ,新宿両国線,新宿区市谷田町1-1,41030 ,"24,477 ",813 ,468 ,      －,      －,      －,      －,"11,311 ",994 ,"12,305 ",8.1 ,"1,149 ",9.3 ,1.34 ,0.59 ,40980 ,"14,618 ",0.84 ,16.7 ,18.8 ,10月6日(水),晴,国土交通省,302 ,新宿両国線,41030 ,
302 ,新宿両国線,千代田区東神田2-10-13,41040 ,"3,210 ","2,157 ","1,596 ",      －,      －,      －,      －,"24,516 ","2,500 ","27,016 ",9.3 ,"2,460 ",9.1 ,1.41 ,0.79 ,40990 ,"28,480 ",0.95 ,18.4 ,15.9 ,10月6日(水),晴,国土交通省,302 ,新宿両国線,41040 ,
304 ,日比谷豊洲埠頭東雲町線,千代田区有楽町2-5,41080 ,"30,966 ","1,610 ","1,091 ",      －,      －,      －,      －,"22,164 ","3,378 ","25,542 ",13.2 ,"2,260 ",8.8 ,1.42 ,0.87 ,41030 ,"31,204 ",0.82 ,15.6 ,12.3 ,9月28日(火),曇,国土交通省,304 ,日比谷豊洲埠頭東雲町線,41080 ,
304 ,日比谷豊洲埠頭東雲町線,江東区豊洲1-1,41090 ,"2,771 ","2,622 ",855 ,      －,      －,      －,      －,"14,804 ","3,407 ","18,211 ",18.7 ,"1,626 ",8.9 ,1.38 ,0.54 ,41040 ,"21,950 ",0.83 ,20.8 ,16.4 ,9月28日(火),曇,国土交通省,304 ,日比谷豊洲埠頭東雲町線,41090 ,
304 ,日比谷豊洲埠頭東雲町線,中央区晴海2-7,41100 ,781 ,"1,153 ",900 ,      －,      －,      －,      －,"11,616 ","3,795 ","15,411 ",24.6 ,"1,468 ",9.5 ,1.37 ,0.42 ,41050 ,"20,029 ",0.77 ,20.9 ,46.6 ,9月28日(火),曇,国土交通省,304 ,日比谷豊洲埠頭東雲町線,41100 ,
305 ,芝新宿王子線,港区白金6-1-1,41110 ,"2,180 ",841 ,312 ,      －,      －,      －,      －,"5,824 ",898 ,"6,722 ",13.4 ,831 ,12.4 ,1.30 ,1.02 ,41060 ,"6,676 ",1.01 ,12.9 ,12.4 ,9月16日(木),晴,国土交通省,305 ,芝新宿王子線,41110 ,
305 ,芝新宿王子線,渋谷区千駄ヶ谷5,41120 ,"20,295 ","3,268 ","1,254 ",      －,      －,      －,      －,"14,532 ","1,521 ","16,053 ",9.5 ,"1,551 ",9.7 ,1.35 ,1.07 ,41070 ,"17,155 ",0.94 ,17.8 ,14.2 ,11月30日(火),晴,国土交通省,305 ,芝新宿王子線,41120 ,
305 ,芝新宿王子線,新宿区高田馬場1-1,41160 ,"7,242 ","2,956 ","1,634 ","12,487 ","5,917 ",347 ,"1,704 ","18,404 ","2,051 ","20,455 ",10.0 ,"1,843 ",9.0 ,1.38 ,0.83 ,41110 ,"21,802 ",0.94 ,14.6 ,8.9 ,12月1日(水),雨,東京都,305 ,芝新宿王子線,41160 ,
305 ,芝新宿王子線,豊島区高田3-23,41170 ,"3,700 ","2,487 ","1,698 ",      －,      －,      －,      －,"16,967 ","1,937 ","18,904 ",10.2 ,"1,743 ",9.2 ,1.36 ,0.80 ,41120 ,"19,489 ",0.97 ,8.3 ,17.0 ,9月7日(火),曇,国土交通省,305 ,芝新宿王子線,41170 ,
305 ,芝新宿王子線,豊島区上池袋4-9-8,41190 ,"3,007 ","3,847 ","1,423 ",      －,      －,      －,      －,"14,485 ","2,650 ","17,135 ",15.5 ,"1,589 ",9.3 ,1.35 ,1.06 ,41140 ,"17,308 ",0.99 ,15.4 ,11.4 ,10月21日(木),曇,国土交通省,305 ,芝新宿王子線,41190 ,
306 ,王子千住夢の島線,荒川区西尾久4-9-1,41230 ,"1,037 ","1,689 ","1,084 ",      －,      －,      －,      －,"14,600 ","2,357 ","16,957 ",13.9 ,"1,545 ",9.1 ,1.35 ,1.36 ,41171 ,"17,659 ",0.96 ,24.2 ,23.6 ,10月21日(木),曇,国土交通省,306 ,王子千住夢の島線,41230 ,
306 ,王子千住夢の島線,荒川区東尾久1-21-8,41250 ,"1,484 ","2,392 ","1,035 ",      －,      －,      －,      －,"19,229 ","3,038 ","22,267 ",13.6 ,"2,605 ",11.7 ,1.36 ,0.95 ,41190 ,"19,548 ",1.14 ,8.3 ,18.0 ,11月18日(木),曇,国土交通省,306 ,王子千住夢の島線,41250 ,
306 ,王子千住夢の島線,荒川区東日暮里1-5-7,41260 ,"4,314 ","2,933 ","1,301 ",      －,      －,      －,      －,"18,713 ","3,272 ","21,985 ",14.9 ,"2,021 ",9.2 ,1.37 ,1.64 ,41200 ,"20,767 ",1.06 ,16.5 ,15.7 ,11月18日(木),曇,国土交通省,306 ,王子千住夢の島線,41260 ,
306 ,王子千住夢の島線,荒川区南千住2-15,41270 ,"1,630 ","4,174 ","1,388 ",      －,      －,      －,      －,"11,479 ","2,294 ","13,773 ",16.7 ,"1,284 ",9.3 ,1.34 ,0.57 ,41210 ,"15,443 ",0.89 ,13.4 ,22.4 ,10月7日(木),曇,国土交通省,306 ,王子千住夢の島線,41270 ,
306 ,王子千住夢の島線,荒川区南千住3-38,41280 ,"1,431 ","4,246 ","1,380 ",      －,      －,      －,      －,"13,871 ","2,421 ","16,292 ",14.9 ,"1,469 ",9.0 ,1.42 ,1.17 ,41220 ,"18,270 ",0.89 ,13.3 ,19.2 ,10月7日(木),曇,国土交通省,306 ,王子千住夢の島線,41280 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"19,764 ","3,436 ","23,200 ",14.8 ,,,,,,"25,357 ",0.91 ,,,,,,,,,
306 ,王子千住夢の島線,墨田区立花1-1,41310 ,"3,247 ","2,206 ",553 ,      －,      －,      －,      －,"6,015 ","1,167 ","7,182 ",16.2 ,673 ,9.4 ,1.30 ,0.48 ,41250 ,"8,300 ",0.87 ,17.3 ,15.1 ,11月16日(火),曇,国土交通省,306 ,王子千住夢の島線,41310 ,
307 ,王子金町江戸川線,北区豊島5,41350 ,695 ,"2,769 ",815 ,      －,      －,      －,      －,"9,197 ","2,104 ","11,301 ",18.6 ,"1,152 ",10.2 ,1.33 ,0.67 ,41281 ,"11,950 ",0.95 ,11.8 ,10.3 ,10月19日(火),曇,国土交通省,307 ,王子金町江戸川線,41350 ,
307 ,王子金町江戸川線,足立区梅島3丁目35?7,41390 ,"2,303 ","1,581 ","1,733 ","17,061 ","9,411 ",302 ,"5,211 ","26,472 ","5,513 ","31,985 ",17.2 ,"2,798 ",8.7 ,1.44 ,1.28 ,41320 ,"30,876 ",1.04 ,19.9 ,15.3 ,10月12日(火),曇,東京都,307 ,王子金町江戸川線,41390 ,
,,,,"3,044 ","1,934 ","2,596 ","25,402 ","12,526 ",371 ,"7,648 ","37,928 ","8,019 ","45,947 ",17.5 ,,,,,,"47,789 ",0.96 ,,,,,,,,,
307 ,王子金町江戸川線,足立区大谷田３丁目２,41400 ,868 ,"1,336 ","1,317 ","14,285 ","7,004 ",142 ,"4,744 ","21,289 ","4,886 ","26,175 ",18.7 ,"2,309 ",8.8 ,1.41 ,1.20 ,41330 ,"26,326 ",0.99 ,12.8 ,22.0 ,10月12日(火),曇,東京都,307 ,王子金町江戸川線,41400 ,
307 ,王子金町江戸川線,足立区大谷田1-19,41410 ,455 ,"3,147 ",862 ,      －,      －,      －,      －,"16,226 ","2,422 ","18,648 ",13.0 ,"1,735 ",9.3 ,1.35 ,0.91 ,41340 ,"17,278 ",1.08 ,7.2 ,29.7 ,9月16日(木),晴,国土交通省,307 ,王子金町江戸川線,41410 ,
307 ,王子金町江戸川線,葛飾区水元5-17,41420 ,77 ,109 ,193 ,"2,416 ",919 ,187 ,332 ,"3,335 ",519 ,"3,854 ",13.5 ,375 ,9.7 ,1.27 ,0.66 ,41350 ,"4,846 ",0.80 ,17.7 ,19.3 ,10月14日(木),曇,東京都,307 ,王子金町江戸川線,41420 ,
307 ,王子金町江戸川線,葛飾区鎌倉3-54,41430 ,934 ,"1,298 ",256 ,      －,      －,      －,      －,"3,683 ",870 ,"4,553 ",19.1 ,421 ,9.2 ,1.22 ,0.86 ,41360 ,"2,635 ",1.73 ,18.4 ,16.2 ,9月14日(火),曇,国土交通省,307 ,王子金町江戸川線,41430 ,
307 ,王子金町江戸川線,江戸川区南小岩3-29,41440 ,631 ,"1,075 ",508 ,"4,399 ","1,596 ",193 ,719 ,"5,995 ",912 ,"6,907 ",13.2 ,711 ,10.3 ,1.30 ,0.75 ,41370 ,"8,451 ",0.82 ,18.6 ,18.7 ,9月28日(火),晴,東京都,307 ,王子金町江戸川線,41440 ,
307 ,王子金町江戸川線,葛飾区高砂2-17,41460 ,"1,300 ","1,763 ",279 ,"1,457 ",652 ,80 ,303 ,"2,109 ",383 ,"2,492 ",15.4 ,245 ,9.8 ,1.23 ,0.54 ,41390 ,"2,786 ",0.89 ,12.7 ,13.3 ,10月20日(水),晴,東京都,307 ,王子金町江戸川線,41460 ,
308 ,千住小松川葛西沖線,葛飾区小菅1-34,41480 ,534 ,565 ,854 ,      －,      －,      －,      －,"11,973 ","2,216 ","14,189 ",15.6 ,"1,598 ",11.3 ,1.34 ,0.68 ,41410 ,"14,974 ",0.95 ,32.5 ,24.6 ,10月28日(木),晴,国土交通省,308 ,千住小松川葛西沖線,41480 ,
308 ,千住小松川葛西沖線,葛飾区堀切3-14,41490 ,"1,246 ","2,495 ",906 ,"4,981 ","2,876 ",96 ,"1,610 ","7,857 ","1,706 ","9,563 ",17.8 ,917 ,9.6 ,1.32 ,1.28 ,41420 ,"10,840 ",0.88 ,14.3 ,13.8 ,10月20日(水),晴,東京都,308 ,千住小松川葛西沖線,41490 ,
308 ,千住小松川葛西沖線,葛飾区東立石1-13,41500 ,"1,035 ","4,023 ",930 ,"4,500 ","2,155 ",224 ,"1,054 ","6,655 ","1,278 ","7,933 ",16.1 ,754 ,9.5 ,1.31 ,0.90 ,41430 ,"9,425 ",0.84 ,11.1 ,17.0 ,10月20日(水),晴,東京都,308 ,千住小松川葛西沖線,41500 ,
308 ,千住小松川葛西沖線,江戸川区中央4-1-13,41510 ,"4,206 ","5,056 ",712 ,      －,      －,      －,      －,"6,871 ","1,120 ","7,991 ",14.0 ,735 ,9.2 ,1.32 ,0.60 ,41440 ,"9,978 ",0.80 ,19.7 ,12.3 ,9月14日(火),曇,国土交通省,308 ,千住小松川葛西沖線,41510 ,
308 ,千住小松川葛西沖線,江戸川区船堀2-22,41520 ,"4,940 ","2,585 ",952 ,"6,677 ","2,506 ",680 ,"1,234 ","9,183 ","1,914 ","11,097 ",17.2 ,"1,013 ",9.1 ,1.33 ,1.21 ,41450 ,"12,398 ",0.90 ,16.2 ,17.8 ,9月29日(水),晴,東京都,308 ,千住小松川葛西沖線,41520 ,
311 ,環状八号線,大田区羽田空港2-6,41570 ,79 ,240 ,282 ,"3,588 ","1,359 ",252 ,"2,105 ","4,947 ","2,357 ","7,304 ",32.3 ,669 ,9.2 ,1.32 ,0.71 ,41500 ,"10,822 ",0.67 ,44.5 ,35.3 ,11月18日(木),曇,東京都,311 ,環状八号線,41570 ,
311 ,環状八号線,大田区南蒲田3-2,41580 ,"1,490 ","3,894 ","1,260 ","9,226 ","4,514 ",458 ,"2,811 ","13,740 ","3,269 ","17,009 ",19.2 ,"1,514 ",8.9 ,1.35 ,1.14 ,41510 ,"17,831 ",0.95 ,19.2 ,17.1 ,11月18日(木),曇,東京都,311 ,環状八号線,41580 ,
311 ,環状八号線,大田区蒲田5-49,41590 ,"4,340 ","6,407 ","1,966 ","13,636 ","6,768 ",206 ,"3,478 ","20,404 ","3,684 ","24,088 ",15.3 ,"2,197 ",9.1 ,1.40 ,1.00 ,41520 ,"24,959 ",0.97 ,14.3 ,18.5 ,11月18日(木),曇,東京都,311 ,環状八号線,41590 ,
311 ,環状八号線,大田区田園調布1-39-5,41600 ,708 ,897 ,"1,234 ",      －,      －,      －,      －,"20,653 ","3,151 ","23,804 ",13.2 ,"2,195 ",9.2 ,1.40 ,0.90 ,41530 ,"25,873 ",0.92 ,25.7 ,26.7 ,11月30日(火),晴,国土交通省,311 ,環状八号線,41600 ,
311 ,環状八号線,世田谷区上用賀5-12,41610 ,"1,443 ","1,796 ","1,564 ","26,840 ","12,630 ",199 ,"6,271 ","39,470 ","6,470 ","45,940 ",14.1 ,"4,177 ",9.1 ,1.44 ,1.44 ,41540 ,"47,415 ",0.97 ,14.5 ,9.6 ,11月17日(水),晴,東京都,311 ,環状八号線,41610 ,
311 ,環状八号線,杉並区上高井戸1-15,41620 ,832 ,"1,706 ","1,052 ",      －,      －,      －,      －,"36,893 ","6,290 ","43,183 ",14.6 ,"3,946 ",9.1 ,1.44 ,0.82 ,41550 ,"41,960 ",1.03 ,39.9 ,6.2 ,9月8日(水),曇,国土交通省,311 ,環状八号線,41620 ,
311 ,環状八号線,世田谷区上北沢5-44-10,41630 ,680 ,"1,906 ","1,412 ",      －,      －,      －,      －,"30,011 ","6,284 ","36,295 ",17.3 ,"3,371 ",9.3 ,1.43 ,1.30 ,41560 ,"36,519 ",0.99 ,44.6 ,5.9 ,9月8日(水),曇,国土交通省,311 ,環状八号線,41630 ,
311 ,環状八号線,杉並区南荻窪1-5,41650 ,844 ,"1,100 ","1,289 ","17,215 ","9,114 ",114 ,"6,768 ","26,329 ","6,882 ","33,211 ",20.7 ,"2,982 ",9.0 ,1.43 ,1.19 ,41580 ,"33,418 ",0.99 ,7.7 ,13.5 ,12月1日(水),雨,東京都,311 ,環状八号線,41650 ,
311 ,環状八号線,杉並区今川1-12-20,41660 ,659 ,988 ,"1,356 ",      －,      －,      －,      －,"26,338 ","6,642 ","32,980 ",20.1 ,"3,323 ",10.1 ,1.43 ,1.43 ,41590 ,"33,468 ",0.99 ,11.5 ,17.2 ,11月17日(水),晴,国土交通省,311 ,環状八号線,41660 ,
311 ,環状八号線,練馬区下石神井1-1-38,41670 ,"1,223 ","1,818 ",771 ,      －,      －,      －,      －,"34,702 ","8,652 ","43,354 ",20.0 ,"4,437 ",10.2 ,1.44 ,1.95 ,41600 ,"44,066 ",0.98 ,15.3 ,26.3 ,11月17日(水),晴,国土交通省,311 ,環状八号線,41670 ,
311 ,環状八号線,練馬区平和台4丁目22,41695 ,"3,778 ","2,897 ","1,481 ","15,942 ","8,029 ",343 ,"3,381 ","23,971 ","3,724 ","27,695 ",13.4 ,"2,726 ",9.8 ,1.41 ,0.90 ,41620 ,"29,524 ",0.94 ,15.8 ,24.0 ,10月7日(木),曇,東京都,311 ,環状八号線,41695 ,
,,,,"5,167 ","3,698 ","2,183 ","23,372 ","10,292 ",429 ,"4,885 ","33,664 ","5,314 ","38,978 ",13.6 ,,,,,,"43,027 ",0.91 ,,,,,,,,,
311 ,環状八号線,練馬区北町1-13,41700 ,729 ,"1,944 ","1,240 ",      －,      －,      －,      －,"17,734 ","2,982 ","20,716 ",14.4 ,"2,090 ",10.1 ,1.37 ,0.76 ,41630 ,"20,318 ",1.02 ,23.2 ,54.3 ,9月9日(木),曇,国土交通省,311 ,環状八号線,41700 ,
311 ,環状八号線,板橋区小豆沢4-25,41710 ,"1,111 ","1,484 ",934 ,      －,      －,      －,      －,"13,844 ","4,435 ","18,279 ",24.3 ,"1,761 ",9.6 ,1.36 ,0.84 ,41640 ,"18,954 ",0.96 ,32.6 ,18.0 ,10月27日(水),曇,国土交通省,311 ,環状八号線,41710 ,
312 ,白金台町等々力線,港区白金台5-22-11,41750 ,"3,766 ","1,057 ",626 ,      －,      －,      －,      －,"13,584 ","1,025 ","14,609 ",7.0 ,"1,430 ",9.8 ,1.34 ,0.50 ,41671 ,"14,945 ",0.98 ,11.8 ,      －,9月16日(木),晴,国土交通省,312 ,白金台町等々力線,41750 ,
312 ,白金台町等々力線,目黒区鷹番1-10,41760 ,"1,601 ","2,582 ","1,169 ","14,667 ","5,742 ",378 ,"1,836 ","20,409 ","2,214 ","22,623 ",9.8 ,"2,078 ",9.2 ,1.44 ,1.52 ,41680 ,"24,734 ",0.91 ,13.7 ,10.7 ,11月17日(水),晴,東京都,312 ,白金台町等々力線,41760 ,
,,,,"2,307 ","3,263 ","1,696 ","22,366 ","7,166 ",485 ,"2,538 ","29,532 ","3,023 ","32,555 ",9.3 ,,,,,,"37,307 ",0.87 ,,,,,,,,,
312 ,白金台町等々力線,目黒区八雲1-5,41770 ,"3,270 ","1,753 ","1,079 ","16,250 ","6,641 ",309 ,"2,185 ","22,891 ","2,494 ","25,385 ",9.8 ,"2,433 ",9.6 ,1.41 ,0.84 ,41700 ,"27,231 ",0.93 ,10.5 ,18.9 ,11月17日(水),晴,東京都,312 ,白金台町等々力線,41770 ,
312 ,白金台町等々力線,世田谷区等々力6-40-9,41780 ,"1,574 ","1,952 ",834 ,      －,      －,      －,      －,"21,611 ","2,293 ","23,904 ",9.6 ,"2,301 ",9.6 ,1.41 ,0.87 ,41710 ,"26,063 ",0.92 ,19.1 ,17.3 ,9月8日(水),曇,国土交通省,312 ,白金台町等々力線,41780 ,
312 ,白金台町等々力線,目黒区下目黒1-1,41785 ,"22,079 ","1,565 ",541 ,      －,      －,      －,      －,"11,476 ","1,255 ","12,731 ",9.9 ,"1,332 ",10.5 ,1.34 ,0.45 ,41720 ,"15,082 ",0.84 ,      －,13.7 ,11月18日(木),曇,国土交通省,312 ,白金台町等々力線,41785 ,
313 ,上野尾竹橋線,台東区根岸2-18-24,41800 ,"6,064 ","2,685 ",342 ,      －,      －,      －,      －,"3,761 ",392 ,"4,153 ",9.4 ,387 ,9.3 ,1.28 ,0.32 ,41730 ,"5,714 ",0.73 ,9.3 ,9.9 ,10月7日(木),曇,国土交通省,313 ,上野尾竹橋線,41800 ,
313 ,上野尾竹橋線,荒川区町屋6-32,41810 ,"1,201 ","3,598 ",965 ,      －,      －,      －,      －,"7,632 ","1,109 ","8,741 ",12.7 ,940 ,10.8 ,1.31 ,1.39 ,41740 ,"9,529 ",0.92 ,14.1 ,11.2 ,9月16日(木),晴,国土交通省,313 ,上野尾竹橋線,41810 ,
314 ,言問大谷田線,台東区橋場2-1-19,41820 ,889 ,"3,080 ",388 ,      －,      －,      －,      －,"4,832 ",631 ,"5,463 ",11.6 ,642 ,11.8 ,1.30 ,0.38 ,41750 ,"6,603 ",0.83 ,17.8 ,      －,10月7日(木),曇,国土交通省,314 ,言問大谷田線,41820 ,
314 ,言問大谷田線,足立区千住曙町41より若干南側、橋の上,41840 ,"2,410 ","2,810 ",565 ,      －,      －,      －,      －,"8,512 ","1,184 ","9,696 ",12.2 ,897 ,9.3 ,1.30 ,1.17 ,41760 ,"6,606 ",1.47 ,12.8 ,7.8 ,10月28日(木),晴,国土交通省,314 ,言問大谷田線,41840 ,
314 ,言問大谷田線,足立区柳原1,41850 ,323 ,"2,058 ","1,265 ",      －,      －,      －,      －,"13,427 ","1,772 ","15,199 ",11.7 ,"1,528 ",10.1 ,1.36 ,1.36 ,41770 ,"18,745 ",0.81 ,8.9 ,27.2 ,9月16日(木),晴,国土交通省,314 ,言問大谷田線,41850 ,
314 ,言問大谷田線,葛飾区小菅4-22,41860 ,"1,143 ","2,777 ",947 ,      －,      －,      －,      －,"10,203 ","1,973 ","12,176 ",16.2 ,"1,067 ",8.8 ,1.33 ,1.35 ,41780 ,"12,142 ",1.00 ,18.5 ,21.2 ,10月28日(木),晴,国土交通省,314 ,言問大谷田線,41860 ,
315 ,御徒町小岩線,台東区蔵前2-1-8,41870 ,"2,156 ","2,604 ","1,530 ",      －,      －,      －,      －,"20,980 ","1,966 ","22,946 ",8.6 ,"2,259 ",9.8 ,1.39 ,1.59 ,41790 ,"23,751 ",0.97 ,13.6 ,29.4 ,10月6日(水),晴,国土交通省,315 ,御徒町小岩線,41870 ,
315 ,御徒町小岩線,江東区亀戸3-1,41880 ,"1,689 ","1,061 ",786 ,      －,      －,      －,      －,"16,398 ","1,952 ","18,350 ",10.6 ,"1,659 ",9.0 ,1.37 ,1.05 ,41800 ,"20,332 ",0.90 ,13.8 ,21.5 ,11月16日(火),曇,国土交通省,315 ,御徒町小岩線,41880 ,
315 ,御徒町小岩線,江戸川区平井6-1-38,41890 ,"1,073 ","3,115 ","2,122 ",      －,      －,      －,      －,"23,958 ","2,363 ","26,321 ",9.0 ,"2,504 ",9.5 ,1.41 ,1.20 ,41810 ,"27,742 ",0.95 ,23.2 ,15.3 ,9月14日(火),曇,国土交通省,315 ,御徒町小岩線,41890 ,
315 ,御徒町小岩線,江戸川区平井6,41900 ,442 ,"3,963 ","1,495 ",      －,      －,      －,      －,"23,659 ","2,905 ","26,564 ",10.9 ,"2,486 ",9.4 ,1.39 ,1.08 ,41820 ,"28,706 ",0.93 ,8.8 ,28.0 ,9月14日(火),曇,国土交通省,315 ,御徒町小岩線,41900 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"33,090 ","3,895 ","36,985 ",10.5 ,,,,,,"40,853 ",0.91 ,,,,,,,,,
315 ,御徒町小岩線,江戸川区上一色3-10,41920 ,288 ,"1,094 ","1,722 ",      －,      －,      －,      －,"18,623 ","1,557 ","20,180 ",7.7 ,"2,094 ",10.4 ,1.36 ,1.09 ,41840 ,"18,579 ",1.09 ,23.9 ,13.8 ,11月17日(水),晴,国土交通省,315 ,御徒町小岩線,41920 ,
