産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
3,H,46,462,航空機使用業（航空運送業を除く）,7,575,2,12,5,563,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,2,12,-,-,2,189,-,-,2,189,3,374,-,-,3,374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,47,000,倉庫業,312,53749,135,1774,177,51975,1,3,1,3,-,-,34,309,29,124,5,185,12,66,11,39,1,27,89,8549,57,820,32,7729,28,3799,8,91,20,3708,50,13464,13,420,37,13044,43,8405,5,188,38,8217,27,4637,5,62,22,4575,11,12507,-,-,11,12507,8,1926,-,-,8,1926
3,H,47,471,倉庫業（冷蔵倉庫業を除く）,279,47697,123,1572,156,46125,1,3,1,3,-,-,33,307,28,122,5,185,12,66,11,39,1,27,82,8324,52,700,30,7624,24,3763,7,89,17,3674,44,13006,10,358,34,12648,34,7685,4,173,30,7512,25,3990,5,62,20,3928,9,8592,-,-,9,8592,7,1878,-,-,7,1878
3,H,47,472,冷蔵倉庫業,33,6052,12,202,21,5850,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,7,225,5,120,2,105,4,36,1,2,3,34,6,458,3,62,3,396,9,720,1,15,8,705,2,647,-,-,2,647,2,3915,-,-,2,3915,1,48,-,-,1,48
2,H,48,000,運輸に附帯するサービス業,908,109295,515,8732,393,100563,23,156,21,141,2,15,117,932,101,629,16,303,62,977,54,546,8,431,393,15590,261,4038,132,11552,67,6922,28,757,39,6165,105,36118,25,361,80,35757,64,18540,7,2121,57,16419,32,9072,1,3,31,9069,17,15149,1,76,16,15073,7,5628,1,5,6,5623
3,H,48,481,港湾運送業,50,8133,14,454,36,7679,1,2,1,2,-,-,2,22,2,22,-,-,4,30,3,26,1,4,11,1026,7,360,4,666,7,1170,1,44,6,1126,6,756,-,-,6,756,11,1389,-,-,11,1389,7,2295,-,-,7,2295,1,1443,-,-,1,1443,-,-,-,-,-,-
3,H,48,482,貨物運送取扱業（集配利用運送業を除く）,224,25242,119,1207,105,24035,7,23,6,14,1,9,26,229,22,152,4,77,18,314,17,197,1,117,88,1831,55,638,33,1193,11,383,6,99,5,284,31,9947,7,91,24,9856,17,3025,1,4,16,3021,12,3930,-,-,12,3930,7,3949,-,-,7,3949,2,1599,-,-,2,1599
3,H,48,483,運送代理店,116,3132,70,517,46,2615,-,-,-,-,-,-,7,20,7,20,-,-,7,56,6,24,1,32,56,660,41,307,15,353,10,343,2,8,8,335,16,515,9,113,7,402,11,1280,2,35,9,1245,4,243,-,-,4,243,-,-,-,-,-,-,-,-,-,-,-,-
3,H,48,484,こん包業,234,20642,138,2312,96,18330,9,107,9,107,-,-,60,580,51,378,9,202,18,390,14,114,4,276,110,5506,57,1360,53,4146,11,1438,4,308,7,1130,13,3339,1,30,12,3309,3,1643,-,-,3,1643,1,143,-,-,1,143,3,7330,-,-,3,7330,-,-,-,-,-,-
3,H,48,485,運輸施設提供業,10,4636,4,31,6,4605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,37,2,23,1,14,-,-,-,-,-,-,1,567,-,-,1,567,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,5,4029,1,5,4,4024
3,H,48,489,その他の運輸に附帯するサービス業,274,47510,170,4211,104,43299,6,24,5,18,1,6,22,81,19,57,3,24,15,187,14,185,1,2,125,6530,99,1350,26,5180,28,3588,15,298,13,3290,38,20994,8,127,30,20867,22,11203,4,2082,18,9121,7,2458,-,-,7,2458,6,2427,1,76,5,2351,-,-,-,-,-,-
2,H,49,000,郵便業（信書便事業を含む）,5,178,4,37,1,141,-,-,-,-,-,-,2,9,2,9,-,-,-,-,-,-,-,-,3,169,2,28,1,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,49,491,郵便業（信書便事業を含む）,5,178,4,37,1,141,-,-,-,-,-,-,2,9,2,9,-,-,-,-,-,-,-,-,3,169,2,28,1,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,I,00,000,卸売業，小売業,61328,2366655,47405,301552,13923,2065103,2893,24891,2539,13700,354,11191,17456,104157,15713,70144,1743,34013,5717,42140,4958,24604,759,17536,24151,337099,18872,124978,5279,212121,3042,137801,1593,19977,1449,117824,2806,269578,1005,15597,1801,253981,1333,391653,306,7504,1027,384149,809,273773,111,5694,698,268079,353,332522,29,3798,324,328724,167,426908,12,383,155,426525
2,I,50,000,各種商品卸売業,108,12798,82,652,26,12146,2,3,2,3,-,-,17,67,16,63,1,4,4,10,3,6,1,4,54,562,44,383,10,179,4,37,4,37,-,-,6,159,2,27,4,132,5,132,3,49,2,83,3,338,-,-,3,338,2,338,1,25,1,313,4,11093,-,-,4,11093
3,I,50,501,各種商品卸売業,108,12798,82,652,26,12146,2,3,2,3,-,-,17,67,16,63,1,4,4,10,3,6,1,4,54,562,44,383,10,179,4,37,4,37,-,-,6,159,2,27,4,132,5,132,3,49,2,83,3,338,-,-,3,338,2,338,1,25,1,313,4,11093,-,-,4,11093
2,I,51,000,繊維・衣服等卸売業,3779,91283,2994,20043,785,71240,128,2171,117,406,11,1765,711,3268,635,2315,76,953,351,1951,310,1356,41,595,1874,22287,1551,11006,323,11281,240,7796,148,1946,92,5850,202,12945,77,1402,125,11543,71,8841,17,466,54,8375,32,16806,6,320,26,16486,15,5052,-,-,15,5052,7,8914,-,-,7,8914
3,I,51,511,繊維品卸売業（衣服，身の回り品を除く）,450,3925,385,2059,65,1866,15,38,14,36,1,2,72,201,67,170,5,31,28,112,26,94,2,18,257,1750,230,1298,27,452,33,612,21,218,12,394,25,688,12,148,13,540,6,115,4,52,2,63,1,67,-,-,1,67,2,299,-,-,2,299,-,-,-,-,-,-
3,I,51,512,衣服卸売業,1663,53119,1271,8911,392,44208,51,1284,46,147,5,1137,309,1600,270,1084,39,516,192,1154,160,691,32,463,774,10330,623,4533,151,5797,107,4304,62,855,45,3449,86,7009,31,766,55,6243,37,3064,8,251,29,2813,11,12496,2,131,9,12365,9,2439,-,-,9,2439,6,8642,-,-,6,8642
3,I,51,513,身の回り品卸売業,1666,34239,1338,9073,328,25166,62,849,57,223,5,626,330,1467,298,1061,32,406,131,685,124,571,7,114,843,10207,698,5175,145,5032,100,2880,65,873,35,2007,91,5248,34,488,57,4760,28,5662,5,163,23,5499,20,4243,4,189,16,4054,4,2314,-,-,4,2314,1,272,-,-,1,272
2,I,52,000,飲食料品卸売業,5339,144377,4297,35863,1042,108514,132,673,118,350,14,323,1083,5360,1019,4569,64,791,598,4021,549,3203,49,818,2500,32003,2063,17895,437,14108,339,10516,210,3294,129,7222,303,16258,159,2939,144,13319,113,15458,32,799,81,14659,77,17577,13,1287,64,16290,36,16084,6,763,30,15321,12,25404,1,10,11,25394
3,I,52,521,農畜産物・水産物卸売業,2804,46999,2371,22264,433,24735,62,266,53,176,9,90,623,3475,597,3081,26,394,407,2959,375,2339,32,620,1273,15899,1079,10775,194,5124,161,4547,113,1933,48,2614,118,6062,66,1507,52,4555,44,3644,17,486,27,3158,27,6578,6,1139,21,5439,13,2713,3,517,10,2196,1,337,-,-,1,337
3,I,52,522,食料・飲料卸売業,2535,97378,1926,13599,609,83779,70,407,65,174,5,233,460,1885,422,1488,38,397,191,1062,174,864,17,198,1227,16104,984,7120,243,8984,178,5969,97,1361,81,4608,185,10196,93,1432,92,8764,69,11814,15,313,54,11501,50,10999,7,148,43,10851,23,13371,3,246,20,13125,11,25067,1,10,10,25057
2,I,53,000,建築材料，鉱物・金属材料等卸売業,6193,200398,4463,25947,1730,174451,122,427,117,347,5,80,1062,4248,993,3591,69,657,384,1960,358,1507,26,453,3086,30604,2459,14828,627,15776,466,13246,218,2062,248,11184,426,23857,139,1917,287,21940,251,20935,47,590,204,20345,167,38647,16,319,151,38328,72,23752,4,234,68,23518,39,41823,3,51,36,41772
3,I,53,531,建築材料卸売業,2017,45822,1588,8614,429,37208,50,137,48,134,2,3,424,1556,409,1429,15,127,167,791,164,689,3,102,976,8009,815,4706,161,3303,122,3144,63,676,59,2468,132,9116,43,488,89,8628,75,7416,12,151,63,7265,27,6738,2,24,25,6714,6,1925,1,190,5,1735,5,6831,-,-,5,6831
3,I,53,532,化学製品卸売業,1808,47309,1284,7750,524,39559,28,73,27,70,1,3,215,688,206,610,9,78,77,283,74,259,3,24,1009,9208,818,4933,191,4275,154,3714,80,729,74,2985,131,6681,43,658,88,6023,83,6231,11,191,72,6040,63,10766,5,150,58,10616,19,3990,3,44,16,3946,10,5564,1,21,9,5543
3,I,53,533,石油・鉱物卸売業,380,43022,227,1593,153,41429,2,63,1,1,1,62,31,99,29,91,2,8,10,49,9,33,1,16,176,3276,133,826,43,2450,40,2100,19,154,21,1946,35,2546,13,199,22,2347,27,2058,10,131,17,1927,18,8838,2,38,16,8800,18,9317,-,-,18,9317,13,14527,2,30,11,14497
3,I,53,534,鉄鋼製品卸売業,794,38963,506,2840,288,36123,7,22,7,22,-,-,99,340,92,290,7,50,33,143,31,129,2,14,407,3823,326,1868,81,1955,79,2689,19,218,60,2471,62,2521,13,217,49,2304,31,3448,4,27,27,3421,41,6978,3,35,38,6943,14,4013,-,-,14,4013,8,14672,-,-,8,14672
3,I,53,535,非鉄金属卸売業,527,13721,384,2184,143,11537,17,63,16,51,1,12,76,302,68,249,8,53,29,104,27,95,2,9,256,2593,203,1214,53,1379,39,531,22,116,17,415,36,1456,17,286,19,1170,24,951,8,74,16,877,13,3895,2,22,11,3873,13,3520,-,-,13,3520,3,229,-,-,3,229
3,I,53,536,再生資源卸売業,667,11561,474,2966,193,8595,18,69,18,69,-,-,217,1263,189,922,28,341,68,590,53,302,15,288,262,3695,164,1281,98,2414,32,1068,15,169,17,899,30,1537,10,69,20,1468,11,831,2,16,9,815,5,1432,2,50,3,1382,2,987,-,-,2,987,-,-,-,-,-,-
2,I,54,000,機械器具卸売業,8172,395393,5624,38401,2548,356992,203,741,187,599,16,142,1097,3861,1026,3248,71,613,481,2186,437,1594,44,592,3973,41568,3073,18699,900,22869,654,19797,344,3985,310,15812,714,42172,224,3461,490,38711,369,44345,83,2089,286,42256,288,70940,29,1564,259,69376,113,82368,9,1727,104,80641,53,85833,2,227,51,85606
3,I,54,541,産業機械器具卸売業,2701,103357,1865,10241,836,93116,60,186,59,180,1,6,387,1349,355,1122,32,227,135,606,122,365,13,241,1404,12928,1080,5813,324,7115,221,7740,108,883,113,6857,220,10472,63,738,157,9734,112,13942,16,397,96,13545,62,12023,5,192,57,11831,28,35264,2,48,26,35216,12,8401,2,227,10,8174
3,I,54,542,自動車卸売業,905,42745,653,3969,252,38776,19,108,17,82,2,26,222,935,204,721,18,214,84,337,76,264,8,73,374,3689,275,1485,99,2204,58,1463,32,386,26,1077,49,2955,17,221,32,2734,36,5390,10,116,26,5274,33,15524,5,594,28,14930,7,3593,-,-,7,3593,5,8649,-,-,5,8649
3,I,54,543,電気機械器具卸売業,2997,184190,2073,17313,924,166877,88,305,80,217,8,88,302,965,292,846,10,119,171,893,158,689,13,204,1407,15297,1135,7638,272,7659,256,7274,138,1997,118,5277,281,14151,98,1726,183,12425,156,14920,46,1424,110,13496,133,28260,16,564,117,27696,62,37386,6,1570,56,35816,33,64032,-,-,33,64032
3,I,54,549,その他の機械器具卸売業,1569,65101,1033,6878,536,58223,36,142,31,120,5,22,186,612,175,559,11,53,91,350,81,276,10,74,788,9654,583,3763,205,5891,119,3320,66,719,53,2601,164,14594,46,776,118,13818,65,10093,11,152,54,9941,60,15133,3,214,57,14919,16,6125,1,109,15,6016,3,4751,-,-,3,4751
2,I,55,000,その他の卸売業,8246,296072,6522,42760,1724,253312,276,1186,260,866,16,320,1606,6084,1514,5057,92,1027,637,3711,577,2316,60,1395,3967,43503,3276,21537,691,21966,583,18350,327,4145,256,14205,496,31787,203,2755,293,29032,224,73174,70,2417,154,70757,116,33250,28,1472,88,31778,48,51972,6,817,42,51155,13,30975,1,14,12,30961
3,I,55,551,家具・建具・じゅう器等卸売業,1092,51240,852,5180,240,46060,29,86,29,86,-,-,234,889,218,749,16,140,97,427,88,341,9,86,524,5462,425,2733,99,2729,64,1831,33,417,31,1414,55,3288,19,237,36,3051,34,11385,9,193,25,11192,13,4953,2,230,11,4723,7,20854,1,56,6,20798,2,1829,-,-,2,1829
3,I,55,552,医薬品・化粧品等卸売業,1361,113525,1033,7621,328,105904,43,174,39,120,4,54,250,976,235,843,15,133,105,810,92,378,13,432,608,8039,496,3666,112,4373,104,3555,62,892,42,2663,95,9147,35,566,60,8581,59,45279,17,666,42,44613,23,11877,3,120,20,11757,12,18594,1,22,11,18572,4,14550,-,-,4,14550
3,I,55,553,紙・紙製品卸売業,803,27320,629,3961,174,23359,14,53,14,53,-,-,148,439,144,421,4,18,43,161,41,152,2,9,431,3890,365,2405,66,1485,63,2553,25,321,38,2232,49,2934,20,345,29,2589,19,1359,5,104,14,1255,9,1094,3,109,6,985,11,5789,-,-,11,5789,2,8929,-,-,2,8929
3,I,55,559,他に分類されない卸売業,4990,103987,4008,25998,982,77989,190,873,178,607,12,266,974,3780,917,3044,57,736,392,2313,356,1445,36,868,2404,26112,1990,12733,414,13379,352,10411,207,2515,145,7896,297,16418,129,1607,168,14811,112,15151,39,1454,73,13697,71,15326,20,1013,51,14313,18,6735,4,739,14,5996,5,5667,1,14,4,5653
2,I,56,000,各種商品小売業,29,149319,9,51,20,149268,1,8,1,8,-,-,5,25,4,17,1,8,1,3,1,3,-,-,6,152,3,23,3,129,-,-,-,-,-,-,2,2705,-,-,2,2705,4,32998,-,-,4,32998,-,-,-,-,-,-,3,4298,-,-,3,4298,7,109130,-,-,7,109130
3,I,56,561,百貨店，総合スーパー,15,144282,-,-,15,144282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2705,-,-,2,2705,4,32998,-,-,4,32998,-,-,-,-,-,-,3,4298,-,-,3,4298,6,104281,-,-,6,104281
3,I,56,569,その他の各種商品小売業（従業者が常時50人未満のもの）,14,5037,9,51,5,4986,1,8,1,8,-,-,5,25,4,17,1,8,1,3,1,3,-,-,6,152,3,23,3,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4849,-,-,1,4849
2,I,57,000,織物・衣服・身の回り品小売業,3728,172514,2686,11050,1042,161464,173,788,144,463,29,325,1306,5851,1143,3663,163,2188,380,2738,300,1130,80,1608,1257,39532,817,3980,440,35552,118,9894,32,169,86,9725,112,30705,26,308,86,30397,58,27903,2,6,56,27897,30,10082,2,55,28,10027,13,17916,-,-,13,17916,7,23361,-,-,7,23361
3,I,57,571,呉服・服地・寝具小売業,486,6667,427,1539,59,5128,17,48,16,44,1,4,188,498,177,443,11,55,50,203,47,152,3,51,197,1398,170,681,27,717,9,642,2,20,7,622,5,637,2,57,3,580,2,1960,-,-,2,1960,-,-,-,-,-,-,1,704,-,-,1,704,-,-,-,-,-,-
3,I,57,572,男子服小売業,516,46376,371,1596,145,44780,24,161,16,53,8,108,186,756,170,618,16,138,52,275,40,173,12,102,157,16295,103,461,54,15834,21,3735,4,27,17,3708,16,11051,3,47,13,11004,8,2443,-,-,8,2443,5,1779,1,53,4,1726,5,9636,-,-,5,9636,-,-,-,-,-,-
3,I,57,573,婦人・子供服小売業,1519,56769,988,3893,531,52876,66,296,54,188,12,108,523,2799,428,1426,95,1373,154,1357,113,377,41,980,514,13748,271,1199,243,12549,43,3132,5,22,38,3110,47,8808,11,51,36,8757,24,14085,1,4,23,14081,11,3606,1,2,10,3604,4,4204,-,-,4,4204,2,3327,-,-,2,3327
3,I,57,574,靴・履物小売業,319,20617,243,900,76,19717,17,51,17,51,-,-,121,380,116,345,5,35,27,135,23,105,4,30,102,1544,66,312,36,1232,14,445,6,25,8,420,15,1522,3,22,12,1500,5,561,-,-,5,561,3,1288,-,-,3,1288,-,-,-,-,-,-,2,14643,-,-,2,14643
3,I,57,579,その他の織物・衣服・身の回り品小売業,888,42085,657,3122,231,38963,49,232,41,127,8,105,288,1418,252,831,36,587,97,768,77,323,20,445,287,6547,207,1327,80,5220,31,1940,15,75,16,1865,29,8687,7,131,22,8556,19,8854,1,2,18,8852,11,3409,-,-,11,3409,3,3372,-,-,3,3372,3,5391,-,-,3,5391
2,I,58,000,飲食料品小売業,7998,409396,6341,50025,1657,359371,776,12731,610,5967,166,6764,3681,37306,3220,20193,461,17113,870,12694,707,5377,163,7317,1729,44845,1237,10693,492,34152,164,17924,69,1317,95,16607,122,39597,30,640,92,38957,58,74433,6,47,52,74386,20,34237,2,192,18,34045,11,63755,-,-,11,63755,8,62069,3,66,5,62003
3,I,58,581,各種食料品小売業,311,195282,196,2289,115,192993,15,242,13,101,2,141,87,992,79,537,8,455,23,296,18,110,5,186,103,6400,67,1143,36,5257,14,3765,4,226,10,3539,22,8719,3,71,19,8648,15,50435,1,1,14,50434,8,18258,-,-,8,18258,6,45018,-,-,6,45018,4,61017,-,-,4,61017
3,I,58,582,野菜・果実小売業,635,7540,583,2865,52,4675,37,186,36,178,1,8,395,1973,375,1647,20,326,62,328,60,281,2,47,98,1417,81,605,17,812,9,647,2,18,7,629,3,188,2,24,1,164,2,2108,-,-,2,2108,-,-,-,-,-,-,1,569,-,-,1,569,-,-,-,-,-,-
3,I,58,583,食肉小売業,332,6526,288,1632,44,4894,22,122,19,82,3,40,174,866,165,695,9,171,35,210,30,129,5,81,74,2580,59,357,15,2223,8,624,3,34,5,590,3,91,1,17,2,74,2,1378,-,-,2,1378,1,231,-,-,1,231,-,-,-,-,-,-,-,-,-,-,-,-
3,I,58,584,鮮魚小売業,234,4078,202,1112,32,2966,10,47,10,47,-,-,129,559,119,513,10,46,29,235,29,235,-,-,45,799,32,253,13,546,4,638,-,-,4,638,2,387,-,-,2,387,-,-,-,-,-,-,1,290,-,-,1,290,1,939,-,-,1,939,-,-,-,-,-,-
3,I,58,585,酒小売業,1018,10112,957,3313,61,6799,77,261,71,204,6,57,504,1482,490,1342,14,140,109,410,102,347,7,63,283,2123,264,1181,19,942,18,223,14,145,4,78,8,1100,2,39,6,1061,2,3627,-,-,2,3627,2,621,1,31,1,590,1,238,-,-,1,238,-,-,-,-,-,-
3,I,58,586,菓子・パン小売業,1391,54079,1007,7171,384,46908,112,1099,88,492,24,607,611,5388,505,2908,106,2480,159,2042,126,882,33,1160,347,11286,216,2150,131,9136,40,8303,13,224,27,8079,35,7167,4,71,31,7096,13,6118,1,12,12,6106,3,10951,-,-,3,10951,-,-,-,-,-,-,1,986,-,-,1,986
3,I,58,589,その他の飲食料品小売業,4077,131779,3108,31643,969,100136,503,10774,373,4863,130,5911,1781,26046,1487,12551,294,13495,453,9173,342,3393,111,5780,779,20240,518,5004,261,15236,71,3724,33,670,38,3054,49,21945,18,418,31,21527,24,10767,4,34,20,10733,5,3886,1,161,4,3725,2,16991,-,-,2,16991,3,66,3,66,-,-
2,I,59,000,機械器具小売業,3820,96314,3232,13880,588,82434,158,605,148,489,10,116,1579,5631,1480,4795,99,836,436,2128,391,1439,45,689,1268,13406,1021,5098,247,8308,80,8607,40,649,40,7958,96,12574,26,499,70,12075,45,12631,9,337,36,12294,13,5066,3,161,10,4905,10,20881,-,-,10,20881,8,14145,1,6,7,14139
3,I,59,591,自動車小売業,2024,54243,1709,7619,315,46624,73,247,70,233,3,14,842,3158,778,2681,64,477,226,1195,196,759,30,436,671,5938,555,2899,116,3039,48,2404,25,346,23,2058,57,8216,18,225,39,7991,24,7691,6,247,18,7444,7,4282,1,35,6,4247,5,8093,-,-,5,8093,6,12758,-,-,6,12758
3,I,59,592,自転車小売業,250,1621,207,544,43,1077,23,92,20,46,3,46,129,409,116,294,13,115,29,206,24,46,5,160,53,804,33,114,20,690,2,49,1,1,1,48,1,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,59,593,機械器具小売業（自動車，自転車を除く）,1546,40450,1316,5717,230,34733,62,266,58,210,4,56,608,2064,586,1820,22,244,181,727,171,634,10,93,544,6664,433,2085,111,4579,30,6154,14,302,16,5852,38,4353,7,269,31,4084,21,4940,3,90,18,4850,6,784,2,126,4,658,5,12788,-,-,5,12788,2,1387,1,6,1,1381
2,I,60,000,その他の小売業,11084,348681,8637,48132,2447,300549,658,4521,586,3290,72,1231,4517,29211,3908,19907,609,9304,1234,8864,1011,5206,223,3658,3444,58067,2459,14976,985,43091,296,29315,128,1245,168,28070,231,52576,56,672,175,51904,86,69251,12,171,74,69080,40,41925,4,90,36,41835,23,41112,-,-,23,41112,7,9708,1,9,6,9699
3,I,60,601,家具・建具・畳小売業,586,15418,494,1905,92,13513,26,89,25,75,1,14,225,789,214,644,11,145,65,269,56,201,9,68,212,2234,173,841,39,1393,16,1099,8,48,8,1051,15,1885,3,27,12,1858,3,3754,-,-,3,3754,3,1307,1,6,2,1301,3,3653,-,-,3,3653,1,181,-,-,1,181
3,I,60,602,じゅう器小売業,628,13132,541,1934,87,11198,39,126,37,106,2,20,244,857,226,675,18,182,71,332,62,216,9,116,217,2556,179,792,38,1764,10,627,5,30,5,597,9,782,3,28,6,754,3,177,1,5,2,172,3,752,-,-,3,752,1,6808,-,-,1,6808,-,-,-,-,-,-
3,I,60,603,医薬品・化粧品小売業,2689,110224,1784,10097,905,100127,168,1148,139,655,29,493,1229,10556,914,4925,315,5631,342,3169,232,1312,110,1857,687,14798,376,2403,311,12395,63,5574,22,209,41,5365,49,8369,7,99,42,8270,17,33902,1,1,16,33901,11,10367,1,7,10,10360,7,20217,-,-,7,20217,2,1125,-,-,2,1125
3,I,60,604,農耕用品小売業,40,325,34,132,6,193,1,2,1,2,-,-,17,48,17,48,-,-,4,13,3,8,1,5,14,94,10,56,4,38,2,13,2,13,-,-,1,150,-,-,1,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,605,燃料小売業,758,37631,564,3189,194,34442,12,110,10,29,2,81,225,1061,211,876,14,185,76,466,71,366,5,100,360,8493,252,1756,108,6737,36,4697,8,59,28,4638,28,17859,3,42,25,17817,9,2660,1,9,8,2651,3,2198,-,-,3,2198,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,606,書籍・文房具小売業,1533,52022,1308,13951,225,38071,132,1774,127,1644,5,130,698,8241,648,7126,50,1115,140,1472,127,1227,13,245,410,10428,314,2618,96,7810,37,8728,18,256,19,8472,33,7906,9,180,24,7726,7,4903,2,81,5,4822,3,5864,-,-,3,5864,1,1687,-,-,1,1687,-,-,-,-,-,-
3,I,60,607,スポーツ用品・がん具・娯楽用品・楽器小売業,832,37180,646,2893,186,34287,44,194,40,158,4,36,269,1286,234,771,35,515,97,525,86,368,11,157,297,4031,218,1185,79,2846,22,2498,10,101,12,2397,25,7995,5,46,20,7949,11,7894,2,35,9,7859,7,10402,1,23,6,10379,3,1763,-,-,3,1763,-,-,-,-,-,-
3,I,60,608,写真機・時計・眼鏡小売業,620,24726,477,1705,143,23021,36,112,33,85,3,27,268,867,243,650,25,217,68,303,52,173,16,130,175,2680,111,572,64,2108,21,1422,10,99,11,1323,12,1399,4,41,8,1358,7,6201,-,-,7,6201,3,2000,-,-,3,2000,3,3712,-,-,3,3712,2,5942,-,-,2,5942
3,I,60,609,他に分類されない小売業,3398,58023,2789,12326,609,45697,200,966,174,536,26,430,1342,5506,1201,4192,141,1314,371,2315,322,1335,49,980,1072,12753,826,4753,246,8000,89,4657,45,430,44,4227,59,6231,22,209,37,6022,29,9760,5,40,24,9720,7,9035,1,54,6,8981,5,3272,-,-,5,3272,2,2460,1,9,1,2451
