"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","パン工房　プクムク","【～Ｒ３．５】菓子製造業（パン製造業）","南台四丁目６番４号","","03-3380-8679","29中環生食第322号","平成29年6月21日","平成29年6月21日","平成29年6月21日","令和6年6月30日","","139.669337701553","35.6820959298873","食品等営業許可_届出一覧"
"","","","","","パン工房　プクムク","③ 乳類販売業","南台四丁目６番４号","","03-3380-8679","3中健衛食第545号","","","","","","139.669337701553","35.6820959298873","食品等営業許可_届出一覧"
"","","","","","株式会社ミールケア　ＫＧ中野南台事業所","【～Ｒ３．５】飲食店営業（集団給食・病院）","南台四丁目１９番１１号","","","30中環生食第997号","平成31年3月18日","平成31年3月18日","平成31年3月18日","令和8年3月31日","","139.665979300064","35.6812349018292","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫１５６５５６","⑬ その他の食料・飲料販売業","南台四丁目１９番１１号","","","3中健衛食第1345号","","","","","","139.665979300064","35.6812349018292","食品等営業許可_届出一覧"
"","","","","","サン・ウェスト","【～Ｒ３．５】飲食店営業（弁当）","南台四丁目２６番１２号","","03-6382-8581","2中健衛食第294号","令和2年6月11日","令和2年6月11日","令和2年6月11日","令和8年6月30日","","139.667980049203","35.6809602634084","食品等営業許可_届出一覧"
"","","","","","デリハック笹塚店","飲食店営業［一般飲食店］","南台四丁目４３番２号","ポラール笹塚１０３号","","5中健衛食第179号","令和5年6月22日","令和5年6月22日","令和5年6月22日","令和12年6月30日","","139.664266912359","35.6796551174947","食品等営業許可_届出一覧"
"","","","","","そば処　大吉","【～Ｒ３．５】飲食店営業（そば）","南台四丁目５３番８号","プリンス南台１０１","3382-1409","2中健衛食第41号","平成3年4月12日","令和2年4月17日","令和2年5月1日","令和9年4月30日","","139.665849384504","35.6786311441559","食品等営業許可_届出一覧"
"","","","","","ＯＳＴＥＲＩＡ　ＮＩＣＯＲＩ","飲食店営業［一般飲食店］","南台四丁目５３番８号","アーク笹塚ヒルズ１０２","03-6382-6508","4中健衛食第486号","令和4年12月28日","令和4年12月28日","令和4年12月28日","令和11年12月31日","","139.665849384504","35.6786311441559","食品等営業許可_届出一覧"
"","","","","","南","【～Ｒ３．５】飲食店営業（一般・その他）","南台四丁目５３番９号","","03-3229-5057","31中健衛食第687号","平成25年12月12日","令和1年12月10日","令和2年1月1日","令和7年12月31日","","139.665899888288","35.6787819803464","食品等営業許可_届出一覧"
"","","","","","昭和軒","飲食店営業［一般飲食店］","南台四丁目５６番１号","","3381-7905","3中健衛食第1020号","令和3年8月13日","令和3年8月13日","令和3年8月13日","令和9年8月31日","","139.665626633276","35.678436746749","食品等営業許可_届出一覧"
"","","","","","ＣＨＥＲＩＥ","【～Ｒ３．５】飲食店営業（仕出し）","南台四丁目５８番１０号","","","28中環生食第835号","平成29年1月27日","平成29年1月27日","平成29年1月27日","令和6年1月31日","","139.664655612362","35.6778911835996","食品等営業許可_届出一覧"
"","","","","","仕出し　　潮　招","【～Ｒ３．５】飲食店営業（仕出し）","南台五丁目９番２号","","5328-7561","29中環生食第843号","平成13年11月6日","平成29年11月30日","平成29年12月1日","令和6年11月30日","","139.663334056571","35.6816979905966","食品等営業許可_届出一覧"
"","","","","","有限会社　しほまねき　季膳味和","【～Ｒ３．５】そうざい製造業","南台五丁目９番２号","ルーチェナカノ　地下１階","03-5328-7561","2中健衛食第311号","平成25年6月18日","令和2年6月16日","令和2年7月1日","令和9年6月30日","","139.663334056571","35.6816979905966","食品等営業許可_届出一覧"
"","","","","","株式会社　いづみや","? 豆腐製造業","南台五丁目９番１３号","","333816802","3中健衛食第1250号","令和3年10月19日","令和3年10月19日","令和3年10月19日","令和9年10月31日","","139.66333606487","35.6823160723213","食品等営業許可_届出一覧"
"","","","","","や志満","飲食店営業［一般飲食店］","南台五丁目９番１６号","","3381-4317","4中健衛食第247号","令和4年7月21日","令和4年7月21日","令和4年7月21日","令和11年7月31日","","139.663401323751","35.6825413768078","食品等営業許可_届出一覧"
"","","","","","矢澤光学塗装株式会社　本社工場　１Ｆ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","南台五丁目１２番２号","","","4中健衛食第528号","","","","","","139.662522363525","35.6812882413935","食品等営業許可_届出一覧"
"","","","","","アートチャイルドケア中野南台森の保育園","? 集団給食施設","南台五丁目１５番５号","","03-5342-2340","3中健衛食第1041号","","","","","","139.66243208401","35.680361516225","食品等営業許可_届出一覧"
"","","","","","日本製鉄（株）","【～Ｒ３．５】飲食店営業（集団給食・病院）","南台五丁目１７番１号","","5385-2051","31中健衛食第337号","平成10年8月31日","令和1年8月21日","令和1年9月1日","令和8年8月31日","","139.661641361465","35.680488006692","食品等営業許可_届出一覧"
"","","","","","ミニストップ　南台５丁目店","【～Ｒ３．５】飲食店営業（一般・その他）","南台五丁目２１番４号","","03-3380-6571","31中健衛食第606号","平成24年11月27日","令和1年11月15日","令和1年12月1日","令和8年11月30日","","139.661963234983","35.6818610334961","食品等営業許可_届出一覧"
"","","","","","ミニストップ　南台５丁目店","【～Ｒ３．５】アイスクリーム類製造業","南台五丁目２１番４号","","03-3380-6571","31中健衛食第611号","平成24年11月27日","令和1年11月15日","令和1年12月1日","令和8年11月30日","","139.661963234983","35.6818610334961","食品等営業許可_届出一覧"
"","","","","","ミニストップ　南台５丁目店","⑩ コンビニエンスストア","南台五丁目２１番４号","","03-3380-6571","3中健衛食第530号","","","","","","139.661963234983","35.6818610334961","食品等営業許可_届出一覧"
"","","","","","中野区立南中野中学校　給食室","飲食店営業［集団給食］","南台五丁目２２番１７号","","03-5625-5811","3中健衛食第2050号","令和4年4月6日","令和4年4月6日","令和4年4月6日","令和11年4月30日","","139.662432365158","35.6825689768881","食品等営業許可_届出一覧"
"","","","","","神戸屋パンサンベイク３１０","【～Ｒ３．５】飲食店営業（調理パン）","南台五丁目２３番１０号","","3381-4691","31中健衛食第41号","昭和54年9月3日","令和1年5月9日","令和1年6月1日","令和7年5月31日","","139.662319810408","35.6830267058714","食品等営業許可_届出一覧"
"","","","","","名糖牛乳南台販売所","③ 乳類販売業","南台五丁目２３番１０号","","3381-4691","3中健衛食第546号","","","","","","139.662319810408","35.6830267058714","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫３２７０４","⑬ その他の食料・飲料販売業","南台五丁目２３番１７号","","","3中健衛食第1346号","","","","","","139.662983416926","35.6829428552105","食品等営業許可_届出一覧"
"","","","","","長寿庵","【～Ｒ３．５】飲食店営業（そば）","南台五丁目２３番１９号","","3381-9441","29中環生食第548号","昭和63年8月24日","平成29年8月22日","平成29年9月1日","令和6年8月31日","","139.663305838675","35.6827655085199","食品等営業許可_届出一覧"
"","","","","","ロッテ株式会社　３階　自販機コーナー","⑤ コップ式自動販売機（自動洗浄・屋内設置）","南台五丁目２４番１号","","03-3333-8561","3中健衛食第1062号","","","","","","139.661677840214","35.683584328629","食品等営業許可_届出一覧"
"","","","","","らーめん蔵芸中野店","【～Ｒ３．５】飲食店営業（一般・中華料理）","南台五丁目２４番１３号","島忠ホームズ中野本店　地下１階","3380-3228","28中環生食第730号","平成21年12月3日","平成28年12月20日","平成29年1月1日","令和5年12月31日","","139.661787673723","35.6841475857158","食品等営業許可_届出一覧"
"","","","","","モスバーガー　島忠中野本店","⑬ その他の食料・飲料販売業","南台五丁目２４番１３号","","5342-9376","3中健衛食第1236号","","","","","","139.661787673723","35.6841475857158","食品等営業許可_届出一覧"
"","","","","","モスバーガー　島忠中野本店","飲食店営業［一般飲食店］","南台五丁目２４番１３号","","5342-9376","4中健衛食第661号","令和5年1月24日","令和5年1月24日","令和5年1月24日","令和12年1月31日","","139.661787673723","35.6841475857158","食品等営業許可_届出一覧"
"","","","","","島忠ホームズ中野本店","⑬ その他の食料・飲料販売業","南台五丁目２４番１３号","","03-5328-5731","3中健衛食第1393号","","","","","","139.661787673723","35.6841475857158","食品等営業許可_届出一覧"
"","","","","","ローソン中野南台五丁目店","【～Ｒ３．５】飲食店営業（一般・その他）","南台五丁目２５番６号","エステート南台１階","","2中健衛食第1253号","令和3年3月9日","令和3年3月9日","令和3年3月9日","令和10年3月31日","","139.660849682144","35.6841507475863","食品等営業許可_届出一覧"
"","","","","","ローソン中野南台五丁目店","【～Ｒ３．５】菓子製造業（その他・その他）","南台五丁目２５番６号","エステート南台１階","","2中健衛食第1254号","令和3年3月9日","令和3年3月9日","令和3年3月9日","令和10年3月31日","","139.660849682144","35.6841507475863","食品等営業許可_届出一覧"
