施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
セブン－イレブン　あきる野小川店,東京都あきる野市小川５１番地１,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-550-3707,2021/6/1,,
セブン－イレブン　あきる野小川店,東京都あきる野市小川５１番地１,,,,乳類販売業(ショーケース売り),042-550-3707,2021/6/1,,
ドラッグセイムスあきる野小川店,東京都あきる野市小川６０７番地,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(電子申請（未区分）),0425-50-3960,2021/10/28,,
ガスト 秋川小川店,東京都あきる野市小川６１２番地,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-532-7011,2021/11/11,,
セブン－イレブン　あきる野二宮店,東京都あきる野市小川７３４番地１,,有限会社　ディリーサービス,東京都あきる野市小川７３４番地１,コンビニエンスストア,042-550-4211,2024/2/16,042-550-4211,松本　圭
和ごころダイニング　うぐいす,東京都あきる野市小川東１丁目１６番地３,,株式会社仁恕苑,東京都あきる野市草花７４８番地３,集団給食施設(社会福祉施設Ⅰ),0425332855,2022/9/22,,
株式会社　吉田製作所,東京都あきる野市小川東１丁目２番地８,,株式会社　吉田製作所,東京都あきる野市小川東１丁目２番地８,器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）(食器容器包装製造業),042-559-0817,2024/6/21,042-559-0817,吉田　恵介
ファミリーマートあきる野睦橋通り店,東京都あきる野市小川東２丁目１０番地８,,ｎａｎｉ株式会社,東京都あきる野市野辺１２５５番地５５,コンビニエンスストア,042-532-0239,2021/11/30,,木庭　重男
マクドナルドあきる野小川店,東京都あきる野市小川東２丁目１１番地７,,株式会社豊昇,埼玉県本庄市南一丁目２番１０号,乳類販売業(ショーケース売り),042-532-7421,2021/10/21,049-298-6145,田中智行
学校法人　山田学園　ほうりんじ幼稚園,東京都あきる野市小川東２丁目１２番地２４,,学校法人  山田学園,東京都あきる野市小川東２丁目１２番地２４,集団給食施設(学校・幼稚園Ⅱ),042-558-9067,2021/10/26,042-558-9067,山田　宗孝
肉の秋山,東京都あきる野市小川東３丁目８番地１６,,,,食肉販売業（包装済みの食肉のみの販売）(一般),,2021/6/2,,
肉の秋山,東京都あきる野市小川東３丁目８番地１６,,,,その他の食料・飲料販売業(包装),,2021/6/2,,
業務スーパーあきる野東店,東京都あきる野市小川東３丁目９番地１１,,株式会社G-7スーパーマート,兵庫県神戸市須磨区弥栄台４丁目８番地の１,百貨店、総合スーパー,042-532-3077,2024/1/29,078-794-3700,関　大作
ドラッグセイムスあきる野東店,東京都あきる野市小川東３丁目９番地１６,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(電子申請（未区分）),042-532-7031,2021/10/28,,
八百政,東京都あきる野市小中野１３７番地,,,,野菜果物販売業(自動車以外),042-596-0348,2021/11/29,,
楽庵,東京都あきる野市小中野１６７番地,,株式会社　黒茶屋,東京都あきる野市小中野１６７番地,その他の食料・飲料販売業(包装),042-596-0129,2023/6/23,042-596-0129,?水  謙二
株式会社  黒茶屋,東京都あきる野市小中野１６７番地,,株式会社　黒茶屋,東京都あきる野市小中野１６７番地,その他の食料・飲料販売業(店舗),042-596-0129,2023/6/22,042-596-0129,?水  謙二
水車,東京都あきる野市小中野１６７番地,,株式会社　黒茶屋,東京都あきる野市小中野１６７番地,その他の食料・飲料販売業(包装),042-596-0129,2023/6/29,042-596-0129,?水  謙二
ヤクルト五日市センター,東京都あきる野市小中野３７１番地,,東京ヤクルト販売株式会社,東京都台東区台東２丁目１９番９号,その他の食料・飲料販売業(店舗),0425964997,2021/8/23,,
ファミリーマートあきる野檜原街道店,東京都あきる野市小中野３７８番地,,,,コンビニエンスストア,042-533-7151,2021/11/10,,
前沢商店,東京都あきる野市小中野８８番地,,,,その他の食料・飲料販売業(店舗),042-596-0304,2021/11/29,,
有限会社　松村商店,東京都あきる野市小中野９９番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-596-0253,2001/6/1,042-596-0253,松村　兼房
横河マニュファクチャリング株式会社 小峰事業所,東京都あきる野市小峰台２番地,,,東京都武蔵野市中町２丁目９番３２号,器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）(食器容器包装製造業),042-595-2202,2021/9/14,,
みつばちファーム,東京都あきる野市上ノ台３７番地３,,有限会社健康自然工房,東京都あきる野市上ノ台３７番地３,その他の食料品製造・加工業(食料品製造・加工),042-519-9327,2023/2/3,042-519-9327,犬飼　博
株式会社ヴィンヤード多摩,東京都あきる野市上ノ台５５番地,,株式会社ヴィンヤード多摩,東京都あきる野市下代継４０８番地１,その他の食料・飲料販売業(店舗),042-533-2866,2022/7/13,042-533-2866,森谷　尊文
ヴィンヤードマルシェ,東京都あきる野市上ノ台５５番地,,,,その他の食料・飲料販売業(店舗),,2023/11/17,,
よつぎ第二保育園,東京都あきる野市上代継２１８番地１,,社会福祉法人　健生会,東京都あきる野市上代継２１８番地１,集団給食施設(児童福祉施設Ⅱ),042-559-0515,2021/10/21,042-559-0515,私市　克巳
西秋留保育園,東京都あきる野市上代継３００番地,,社会福祉法人秋川あすなろ会,東京都あきる野市原小宮２丁目６番地６,集団給食施設(児童福祉施設Ⅱ),0425581105,2022/8/29,,
有限会社　おおしま,東京都あきる野市上代継６００番地,,有限会社　おおしま,東京都あきる野市上代継字白岩６００番地,乳類販売業(ショーケース売り),042-559-8470,2001/6/1,042-559-8470,榎並　夕真
アゼキリ,東京都あきる野市上代継６００番地,,株式会社東京サマーランド,東京都あきる野市上代継字白岩６００番地,その他の食料・飲料販売業(店舗),052-558-6511,2021/9/24,042-558-6511,折戸　一義
ふるさと,東京都あきる野市菅生１１５９番地,新館,社会福祉法人  松楓会,東京都あきる野市菅生１１５９番地,その他の食料・飲料販売業(店舗),042-558-7010,2022/7/27,042-558-7010,望月　規子
シャルム,東京都あきる野市菅生１１５９番地２,,社会福祉法人  松楓会,東京都あきる野市菅生１１５９番地,その他の食料・飲料販売業(店舗),042-558-7012,2021/8/17,042-558-7010,望月　規子
東京和牛株式会社,東京都あきる野市菅生１４６０番地,,東京和牛株式会社,東京都あきる野市菅生１４６０番地,食肉販売業（包装済みの食肉のみの販売）(一般),042-558-7454,2024/6/3,042-558-7454,竹内　孝英
ベーカリー　ツイスト,東京都あきる野市菅生１７９０番地,,,,その他の食料・飲料販売業(店舗),042-558-7539,2022/7/26,,
浅野養鶏場,東京都あきる野市菅生347,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-558-7439,2021/11/4,,
浅野養鶏場,東京都あきる野市菅生347,,,,卵選別包装業,042-558-7439,2021/11/4,,
ローソンあきる野瀬戸岡店,東京都あきる野市瀬戸岡１４８番地４,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,コンビニエンスストア,042-550-7571,2021/11/25,042-558-2339,丸山　大介
合同会社はよう,東京都あきる野市瀬戸岡２５８番地５,,合同会社はよう,東京都あきる野市瀬戸岡２５８番地５,その他の食料品製造・加工業(食料品製造・加工),042-558-6450,2024/3/27,042-558-6450,葉養　和明
特別養護老人ホーム　南聖園,東京都あきる野市瀬戸岡３０５番地１,,社会福祉法人誠愛会,東京都あきる野市瀬戸岡３０５番地１,集団給食施設(社会福祉施設Ⅱ),042-559-2111,2022/11/1,,
株式会社ジェイアールシー,東京都あきる野市瀬戸岡３４２番地５,,株式会社ジェイアールシー,東京都あきる野市瀬戸岡３４２番地５,その他の食料・飲料販売業(店舗),042-559-3922,2021/9/21,042-559-3922,吉野　隆宏
後藤酒店,東京都あきる野市瀬戸岡４２５番地２２,,,,米穀類販売業,042-558-7391,2022/1/13,,
あきる野市立神明保育園,東京都あきる野市瀬戸岡４４６番地,,あきる野市,東京都あきる野市二宮３５０番地,集団給食施設(児童福祉施設Ⅱ),042-558-1107,2021/10/15,042-558-1111,中嶋　博幸
浦野商店,東京都あきる野市瀬戸岡４５９番地３,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-558-7339,2021/6/1,,
浦野商店,東京都あきる野市瀬戸岡４５９番地３,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-558-7339,2021/6/1,,
浦野商店,東京都あきる野市瀬戸岡４５９番地３,,,,乳類販売業(ショーケース売り),042-558-7339,2021/6/1,,
セブンイレブンあきる野瀬戸岡店,東京都あきる野市瀬戸岡７６９番地１,,株式会社BLUE-ANGEL,東京都あきる野市瀬戸岡７６９番地１,コンビニエンスストア,042-559-2721,2021/6/11,042-559-2721,新井　貴博
富萬酒店,東京都あきる野市草花１０４５番地１３,,,,乳類販売業(ショーケース売り),042-558-3574,2021/6/17,,
富萬酒店,東京都あきる野市草花１０４５番地１３,,,,その他の食料・飲料販売業(包装),042-558-3574,2021/6/16,,
あきる野翔裕館,東京都あきる野市草花１４８１番地１,,株式会社サンガジャパン,埼玉県さいたま市大宮区桜木町1丁目11番地９,集団給食施設(社会福祉施設Ⅰ),042-550-6581,2021/7/6,048-614-1541,洞口　淳一
いなげやあきる野新草花店,東京都あきる野市草花１５７２番地２,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-559-7661,2023/9/21,,
ウェルパークあきる野新草花店,東京都あきる野市草花１５７２番地２,,株式会社ウェルパーク,東京都立川市栄町６丁目１番地の１,その他の食料・飲料販売業(店舗),042-508-2746,2021/8/2,,
セブン－イレブン　あきる野草花店,東京都あきる野市草花１７０７番地１,,,,コンビニエンスストア,042-550-7761,2021/6/11,,
花本食品株式会社,東京都あきる野市草花１７６９番地１,,花本食品株式会社,東京都あきる野市草花１７６９番地１,その他の食料・飲料販売業(店舗),042-558-2106,2022/10/25,042-558-2106,岸野　敏行
塩野商店,東京都あきる野市草花１７９４番地,,,,米穀類販売業,042-558-1210,2021/11/25,,
特別養護老人ホーム  麦久保園,東京都あきる野市草花２２１９番地,,社会福祉法人  福信会,東京都あきる野市草花２２１９番地,集団給食施設(社会福祉施設Ⅲ),042-550-2201,2021/6/28,042-550-2201,窪島　裕也
立川国際カントリー倶楽部　従業員食堂,東京都あきる野市草花２３９０番地,,立川ゴルフパーク株式会社,東京都あきる野市草花２３９０番地,集団給食施設(工場・事業所Ⅰ),042-558-1711,2021/6/8,042-558-1711,伊藤　英博
あきる野市秋川第二学校給食センター,東京都あきる野市草花２８６２番地,,あきる野市,東京都あきる野市二宮３５０番地,集団給食施設(学校・幼稚園Ⅲ),042-558-1123,2021/11/25,042-558-1111,村木　英幸
