"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"医療法人恵仁会　松島クリニック汐留","東京都港区海岸一丁目1番1号","2階","03-3437-7311","2017/12/28","内科、消化器内科（内視鏡）","35.658229","139.758707"
"医療法人社団進興会　浜松町ハマサイトクリニック","東京都港区海岸一丁目2番20号","汐留ビルディング2階","03-5472-1100","2018/7/23","内科、婦人科","35.656822","139.759378"
"東京浜松町眼科クリニック","東京都港区海岸一丁目2番20号","汐留ビルディング2階","03-3434-4113","2011/9/1","眼科","35.656822","139.759378"
"株式会社小松製作所本社診療所","東京都港区海岸一丁目2番20号","汐留ビルディング8階","03-6849-9793","2024/1/5","内科","35.656822","139.759378"
"東京ガス株式会社　健康管理センター","東京都港区海岸一丁目5番20号",,"03-5400-7684","1984/2/13","内科、精神科、歯科","35.65345","139.758554"
"一般財団法人京浜保健衛生協会　健診センター","東京都港区海岸一丁目5番20号","東京ガスビルディング3階","03-5400-7812","2009/7/1","内科","35.653284","139.758619"
"竹芝水辺のクリニック","東京都港区海岸一丁目10番30号","アトレ竹芝タワー棟3階","03-3432-3232","2020/8/3","内科、腎臓内科","35.655884","139.762831"
"フォーシーズンズ美容皮膚科　東京竹芝院","東京都港区海岸一丁目10番30号","アトレ竹芝タワー棟3階","03-6803-4908","2023/5/12","皮膚科、美容皮膚科、美容外科","35.655884","139.762831"
"アジュール竹芝　総合健診センター","東京都港区海岸一丁目11番2号",,"03-3437-2701","1991/11/28","内科、眼科、婦人科、耳鼻いんこう科","35.655276","139.763249"
"東京ベイクリニック","東京都港区海岸一丁目16番1号","ニューピア竹芝サウスタワー4階","03-5404-3842","2004/10/19","内科、消化器科、外科","35.653403","139.762589"
"Ｔｏｔａｌ　Ｃｅｌｌ　Ｃｌｉｎｉｃ　ＴＯＫＹＯ","東京都港区海岸一丁目16番1号","ニューピア竹芝サウスタワー13階","03-6435-7410","2021/4/1","内科、外科","35.653403","139.762589"
"医療法人美喜有会　リペアセルクリニック東京院","東京都港区海岸一丁目16番1号","ニューピア竹芝サウスタワー3階","0120-706-313","2021/5/7","整形外科","35.653403","139.762589"
"マブチメディカルクリニック","東京都港区海岸一丁目16番2号","インターコンチネンタル東京ベイ911号室","03-5404-3963","2012/7/1","内科、皮膚科","35.653006","139.762375"
"株式会社紀文食品　産業医室","東京都港区海岸二丁目1番7号",,"03-6891-2666","2007/10/2","内科","35.651518","139.759157"
"東京港診療所","東京都港区海岸三丁目9番5号","2階","03-3451-4620","2011/4/1","内科、眼科","35.639667","139.754597"
"医療法人社団スターセルアライアンススタークリニック","東京都港区海岸三丁目26番1号","バーク芝浦ビル11階","03-6453-7031","2018/4/17","内科、形成外科、美容皮膚科","35.645293","139.758639"
"医療法人社団エムイーアール　インディバークリニック","東京都港区海岸三丁目26番1号","バーク芝浦ビル5階","03-6436-7991","2022/7/1","内科、歯科、神経内科、腫瘍外科","35.645293","139.758639"
"伊藤忠東京診療所","東京都港区北青山二丁目5番1号",,"03-3497-7683","2014/1/14","内科、歯科","35.671557","139.719321"
"ミネルバクリニック","東京都港区北青山二丁目7番25号","神宮外苑ビル1号館2階","03-3478-3768","2019/10/4","内科、腫瘍内科、呼吸器内科、感染症内科","35.671321","139.717258"
"私の皮膚科","東京都港区北青山二丁目7番25号","神宮外苑ビル1号館3階","03-3475-1112","2022/6/1","皮膚科、小児皮膚科、美容皮膚科","35.671321","139.717258"
"医療法人社団セレス　青山セレスクリニック","東京都港区北青山二丁目7番26号","フジビル28 7F","03-3405-7357","2014/2/1","美容外科、形成外科、美容皮膚科、皮膚科、泌尿器科、美容内科、内科","35.671454","139.717278"
"青山レナセルクリニック","東京都港区北青山二丁目7番28号","N.A.ビル5階","03-5843-0425","2020/7/18","内科、皮膚科、消化器内科、内分泌内科、腎臓内科、代謝内科、形成外科","35.671815","139.717059"
"ＳＴスキンクリニック青山","東京都港区北青山二丁目9番14号","シスター202号",,"2021/4/15","皮膚科、美容皮膚科","35.671260","139.716303"
"青山ＰＨＳクリニック","東京都港区北青山二丁目12番7号","K&Cビル2・3階","03-5770-3330","2003/3/12","美容外科","35.671053","139.716130"
"アットホーム表参道クリニック","東京都港区北青山二丁目12番31号","第3イノセビル2階及び地下1階","03-3423-3232","2020/10/1","整形外科、内科、リハビリテーション科、糖尿病内科、内分泌・代謝内科、老年内科、女性内科、漢方内科","35.670168","139.714953"
"東京メディカルテラス","東京都港区北青山二丁目13番4号","青山MYビル4階","03-6721-1899","2022/5/1","内科、外科、消化器内科","35.670031","139.716423"
"医療法人社団嗣業の会　こどもとおとなのクリニック　パウルーム","東京都港区北青山二丁目13番4号","青山MYビル","03-6804-1892","2023/3/7","小児科、内科、精神科","35.670031","139.716423"
"新未来クリニック","東京都港区北青山三丁目2番2号","AYビル6階","03-6438-9146","2023/12/1","内科、ペインクリニック整形外科、皮膚科","35.669219","139.715492"
"中井診療所","東京都港区北青山三丁目3番7号","102","03-3401-2055","1963/7/10","産科、婦人科、内科","35.668363","139.714833"
"おりつこどもクリニック","東京都港区北青山三丁目5番4号","青山高野ビル5階","03-6721-1188","2018/10/1","小児科、アレルギー科","35.667503","139.714255"
"医療法人社団プラス会　赤井クリニック","東京都港区北青山三丁目5番17号","KNKビル3，4階","03-5771-4114","2005/9/1","形成外科、皮膚科、美容外科、内科","35.666065","139.712824"
"医療法人社団一信会　ティーアイクリニック","東京都港区北青山三丁目5番17号","はる木ビル4階","03-3405-1277","2015/4/1","内、美皮","35.666198","139.713058"
"医療法人社団衣明会　衣理クリニック表参道","東京都港区北青山三丁目5番30号","入来ビル4階","03-5786-0077","2004/10/13","内科、皮膚科","35.665994","139.711522"
"表参道Ｂｊクリニック　美容外科・美容皮膚科","東京都港区北青山三丁目5番40号","YCビル2　2階","03-6438-9900","2021/1/25","美容外科、美容皮膚科","35.666756","139.711733"
"表参道内科眼科","東京都港区北青山三丁目6番16号","表参道サンケイビル3階","03-5466-9971","2008/12/1","内科、眼科","35.664846","139.711745"
"北青山診療所","東京都港区北青山三丁目6番19号","三和実業表参道ビル4階","03-3797-0551","2004/4/1","内科、精神科、神経科、心療内科","35.664514","139.711432"
"表参道タウン形成外科クリニック","東京都港区北青山三丁目6番19号","三和実業表参道ビル8階","03-5467-0024","2012/4/5","形成外科、美容外科、皮膚科","35.664514","139.711432"
"医療法人社団神優会東京ＧＬＰクリニック","東京都港区北青山三丁目6番19号","三和実業表参道ビル5階","03-6721-9233","2022/9/28","内科","35.664514","139.711432"
"青山エミ・セントクリニック","東京都港区北青山三丁目6番20号","青山T&E 6F","03-6427-6562","2013/6/1","内科、皮膚科、婦人科","35.664342","139.711414"
"青山外苑前クリニック","東京都港区北青山三丁目7番2号","FPG links OMOTESANDO2　2階","03-5772-4575","2020/5/24","皮膚科、形成外科、美容外科、美容皮膚科","35.664831","139.710720"
"メディカルブランチ表参道","東京都港区北青山三丁目9番7号","表参道N&Nビル3F","03-5774-2057","2016/9/1","内科、外科","35.664691","139.710142"
"医療法人ふじいやさか　表参道ウェルネス統合医療クリニック","東京都港区北青山三丁目9番8号","ノースアオヤマB1階","03-4500-9293","2021/5/1","循環器内科、外科","35.664551","139.709946"
"表参道ソフィアクリニック","東京都港区北青山三丁目10番2号",,"03-3805-0136","2013/8/13","精神科、心療内科","35.664504","139.710514"
"表参道美容外科クリニック","東京都港区北青山三丁目10番9号","川島ビル8階","03-6450-5865","2022/4/1","美容外科、美容皮膚科","35.664027","139.711113"
"三好クリニック","東京都港区北青山三丁目10番9号","川島ビル2階","03-5468-6363","2011/9/26","内科、循環器内科","35.664027","139.711113"
"表参道ＡＲＴクリニック","東京都港区北青山三丁目11番7号","AOビル11階","03-6433-5461","2021/4/1","産婦人科（不妊治療）、生殖医療外科、婦人科","35.663812","139.710655"
"湘南美容クリニック表参道院","東京都港区北青山三丁目11番7号","AOビル7階","050-5865-5210","2021/6/8","美容外科、美容皮膚科","35.663812","139.710655"
"品川スキンクリニック　表参道院","東京都港区北青山三丁目11番7号","AOビル10階","03-6450-5912","2013/8/23","美容皮膚科、美容外科","35.663812","139.710655"
"パルフェクリニック・医科歯科","東京都港区北青山三丁目11番7号","AOビル3階","03-6452-6035","2023/7/17","内科、歯科、小児歯科、歯科口腔外科、矯正歯科","35.663812","139.710655"
"武村医院","東京都港区北青山三丁目12番2号","1階","03-3407-7826","2023/7/1","内科、呼吸器内科、皮膚科","35.663689","139.710025"
"医療法人社団星美会　青山ヒフ科クリニック","東京都港区北青山三丁目12番9号","青山花茂ビル3階","03-3499-1214","2008/2/1","皮膚科","35.663232","139.710225"
"表参道ウィズ・クリニック","東京都港区北青山三丁目12番9号","青山花茂ビル8階","03-5962-7018","2022/2/1","美容皮膚科、アレルギー科、内科、整形外科","35.663232","139.710225"
"青山すみれクリニック","東京都港区北青山三丁目14番4号","202","03-5778-6321","2010/4/28","心療内科、内科、精神科","35.664106","139.710000"
"ロシュ・ダイアグノスティックス企業内診療所","東京都港区港南一丁目2番70号","品川シーズンテラス16階","03-6634-1111","2021/8/19","内科","35.632491","139.743066"
"品川シーズンテラス港南口クリニック","東京都港区港南一丁目2番70号","品川シーズンテラスアネックス3階","03-6433-2530","2015/9/3","内科","35.632491","139.743066"
"品川シーズンテラス健診クリニック","東京都港区港南一丁目2番70号","品川シーズンテラス5階","03-6712-1445","2015/4/1","内科、婦人科","35.632491","139.743066"
"大同品川ビル診療所","東京都港区港南一丁目6番35号","6階","03-5495-1847","2004/1/15","内科","35.630755","139.745549"
"ソニーピープルソリューションズ株式会社　本社診療所","東京都港区港南一丁目7番1号","ソニーシティ12階","050-3750-6930","2016/10/1","内科","35.631111","139.743857"
"医療法人ＯＪ会　ＩＬＣ国際腰痛クリニック東京","東京都港区港南一丁目8番15号","Wビル1階","03-6712-3111","2022/8/8","整形外科","35.630334","139.744110"
"コクヨ品川健康管理室","東京都港区港南一丁目8番35号","コクヨ品川オフィス9階","03-3474-6039","2020/9/24","内科","35.629666","139.743143"
"ＮＴＴコムウェア株式会社　品川健康管理センタ","東京都港区港南一丁目9番1号","NTT品川TWINSアネックスビル1階","03-5463-6180","2022/2/1","内科","35.631420","139.742855"
"ＪＲ東海　健康管理センター　東京健康管理室","東京都港区港南二丁目1番95号","JR東海品川ビルB棟 6階","03-6777-0231","2023/10/10","内科","35.628893","139.740020"
"医療法人社団　躍心会　品川港南皮フ科","東京都港区港南二丁目2番2号","富士ビル2階","03-6260-0066","2022/5/1","皮膚科、美容皮膚科、小児皮膚科、アレルギー科、形成外科","35.629354","139.742184"
"医療法人社団安緑会　新宿西口クリニック品川院","東京都港区港南二丁目2番16号","谷田企画第一ビル7階","03-6260-1541","2023/11/6","泌尿器科、皮膚科、性感染症内科","35.6292224","139.7398423"
