"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"掛時計","かけどけい","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"傘","かさ","陶器・ガラス・金属ごみ","折りたたみ傘、30cm超の傘を含む","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"傘立て","かさたて","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"加湿器","かしつき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カセットコンロ","かせっとこんろ","陶器・ガラス・金属ごみ","一辺が30cmを超える場合は粗大ごみです。カセットボンベは必ず外してください。外したボンベは、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カセットテープ","かせっとてーぷ","燃やすごみ","ケースは資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カセットボンベ","かせっとぼんべ","陶器・ガラス・金属ごみ","できるだけ中身を使い切り、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カタログ","かたろぐ","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"活性炭","かっせいたん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カッター","かったー","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カップめんの容器・フタ（紙製）","かっぷめんのようき・ふた（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カップめんの容器・フタ（プラスチック製）","かっぷめんのようき・ふた（ぷらすちっくせい）","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カップ（紙製・木製）","かっぷ（かみせい・もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カップ（金属製・陶器製）","かっぷ（きんぞくせい・とうきせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カップ（プラスチック製）","かっぷ（ぷらすちっくせい）","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"かつら","かつら","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"門松","かどまつ","粗大ごみ","一辺が30cm以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"かなづち（トンカチ）","かなづち（とんかち）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"かばん（革製・布製・ビニール製）","かばん（かわせい・ぬのせい・びにーるせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"画びょう","かびょう","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"花びん（陶器製・ガラス製）","かびん（とうきせい・がらすせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"花びん（プラスチック製）","かびん（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"かま（鎌）","かま（かま）","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙おむつ","かみおむつ","燃やすごみ","汚物は取り除いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙コップ","かみこっぷ","燃やすごみ","防水加工がされている紙は古紙（集団回収）に出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙皿","かみざら","燃やすごみ","防水加工がされている紙は古紙（集団回収）に出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カミソリ（替刃・使い捨てのもの）","かみそり（かえば・つかいすてのもの）","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カミソリ（電動のもの）","かみそり（でんどうのもの）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙粘土","かみねんど","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙箱","かみばこ","古紙（集団回収）","汚れている場合、汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙パック","かみぱっく","古紙（集団回収）","中を水ですすいで切り開き、ひもで十字に束ねて出してください。500mlの紙パックも出せます。汚れている場合や、中にアルミの貼ってある場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"紙袋","かみぶくろ","古紙（集団回収）","持ち手が布製・ビニール製の場合、その部分は外して燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カメラ","かめら","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カラスネット","からすねっと","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カラーボックス","からーぼっくす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"カレンダー","かれんだー","古紙（集団回収）","金属部分は外して陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"革靴","かわぐつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"革バッグ","かわばっぐ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"換気扇","かんきせん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"缶きり器","かんきりき","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何かわかるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"緩衝材（プラスチック製）","かんしょうざい（ぷらすちっくせい）","資源プラスチック","紙製のものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"乾燥剤","かんそうざい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"乾電池（アルカリ・マンガン・リチウム一次電池）","かんでんち（あるかり・まんがん・りちうむいちじでんち）","乾電池（拠点回収）","区立施設などに設置してある「乾電池回収ボックス」へ入れてください。出せない場合は陶器・ガラス・金属ごみへ。
ボタン電池や小型二次電池（充電式電池）など区で回収していない電池は、区内のリサイクル協力店へ。詳しくは区のＨＰをご覧ください。http://www.city.tokyo-nakano.lg.jp/dept/473000/d001349.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"感熱紙","かんねつし","燃やすごみ","レシートなどは感熱紙です。古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
