産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
3,B,04,040,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,041,海面養殖業,3,18,2,17,-,-,1,15,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,B,04,042,内水面養殖業,6,35,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,17,1,13,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,2,11,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,C-S,00,000,非農林漁業（Ｃ～Ｓ）,661850,9653155,520998,7708995,33892,952789,37726,749785,39173,1001859,33374,654230,14157,216880,24303,240581,16744,170419,18792,360052,21362,403545,12028,132986,31052,359307,28509,265958,28470,496245,12753,122283,20288,162670,19778,271257,13450,130366,9768,78953,19069,202650,21040,176113,25584,222818,17650,131901,21499,184158,537,21190,127359,1428622,18952,218457,7621,108395,7898,84719,5319,57680,4679,50878,7675,103729,3696,48626,6748,73789,12450,134019,2956,28580,4784,56178,4473,57129,3879,37613,3591,34568,2750,27079,2131,17190,2035,15348,2583,22600,1868,18144,3017,28472,2479,26176,3894,61753,2141,21946,1996,25472,2445,22062,5299,48020,4958,43547,2785,33173,1639,21245,721,9174,141,751,284,2003,2173,10374,1046,4913,586,2929,37,138,244,1095,179,751,265,1262,236,1106,29,156,593,2876,576,2785,17,91,269,1323,269,1323
0,C-R,00,000,非農林漁業（Ｃ～Ｒ）Ｓ公務を除く,659763,9394739,520998,7708995,33892,952789,37726,749785,39173,1001859,33374,654230,14157,216880,24303,240581,16744,170419,18792,360052,21362,403545,12028,132986,31052,359307,28509,265958,28470,496245,12753,122283,20288,162670,19778,271257,13450,130366,9768,78953,19069,202650,21040,176113,25584,222818,17650,131901,21499,184158,537,21190,127359,1428622,18952,218457,7621,108395,7898,84719,5319,57680,4679,50878,7675,103729,3696,48626,6748,73789,12450,134019,2956,28580,4784,56178,4473,57129,3879,37613,3591,34568,2750,27079,2131,17190,2035,15348,2583,22600,1868,18144,3017,28472,2479,26176,3894,61753,2141,21946,1996,25472,2445,22062,5299,48020,4958,43547,2785,33173,1639,21245,721,9174,141,751,284,2003,2173,10374,1046,4913,586,2929,37,138,244,1095,179,751,265,1262,236,1106,29,156,593,2876,576,2785,17,91,269,1323,269,1323
1,C,00,000,鉱業，採石業，砂利採取業,101,2090,84,1934,23,396,4,383,42,1084,4,22,-,-,2,3,-,-,-,-,1,4,1,2,-,-,1,1,2,21,1,2,-,-,-,-,-,-,1,6,1,7,-,-,-,-,1,3,-,-,-,-,13,123,1,3,3,11,-,-,-,-,3,70,1,21,2,8,1,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,33,3,32,-,-,2,4,-,-,1,28,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,C,05,000,鉱業，採石業，砂利採取業,101,2090,84,1934,23,396,4,383,42,1084,4,22,-,-,2,3,-,-,-,-,1,4,1,2,-,-,1,1,2,21,1,2,-,-,-,-,-,-,1,6,1,7,-,-,-,-,1,3,-,-,-,-,13,123,1,3,3,11,-,-,-,-,3,70,1,21,2,8,1,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,33,3,32,-,-,2,4,-,-,1,28,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,050,管理，補助的経済活動を行う事業所,9,65,5,41,2,34,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,24,1,3,2,8,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,051,金属鉱業,5,36,5,36,1,2,1,13,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,053,原油・天然ガス鉱業,54,1759,54,1759,16,338,1,354,36,1066,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,054,採石業，砂・砂利・玉石採取業,25,170,13,66,4,22,2,16,1,4,1,5,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,6,1,7,-,-,-,-,1,3,-,-,-,-,9,99,-,-,1,3,-,-,-,-,2,57,1,21,2,8,1,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,3,5,2,4,-,-,2,4,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,6,52,5,24,-,-,-,-,-,-,2,16,-,-,1,1,-,-,-,-,1,4,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,28,1,28,-,-,-,-,-,-,1,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,C,05,059,その他の鉱業,2,8,2,8,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,D,00,000,建設業,42340,465553,29817,384198,893,24805,1069,32453,1030,50544,1264,32022,553,7791,1007,11559,1025,9365,1341,22894,1192,19676,508,4148,2295,18493,1926,14712,791,17327,846,6737,1222,10382,960,13217,1038,8354,683,5324,1600,11316,2360,16497,2696,19266,1413,10985,2100,16225,5,106,11894,77447,1867,12357,627,5801,278,2012,458,2999,573,2894,789,6483,332,2000,564,3625,1166,7246,189,1201,491,3660,370,2304,397,2159,259,1575,173,1184,182,976,270,1427,365,1762,201,1162,380,2021,414,2105,227,1928,264,1625,170,1002,396,2073,492,3866,629,3908,376,1900,205,1040,94,474,29,121,48,265,253,2008,129,942,72,519,6,29,28,226,23,168,40,350,37,308,3,42,58,565,54,515,4,50,26,151,26,151
2,D,06,000,総合工事業,14514,195302,9653,159496,268,11575,391,16808,370,29648,439,17318,173,3175,277,3151,312,2721,424,9837,361,3971,179,1592,730,5063,736,6106,316,8600,301,2187,472,4573,292,5400,333,2986,198,1213,483,3748,729,5499,744,6175,461,2734,664,5416,-,-,4556,33389,732,5460,273,3114,133,1200,195,1243,235,1332,263,2251,127,837,220,1581,430,3273,71,546,170,1319,129,890,130,844,103,622,75,444,73,449,102,600,129,563,75,566,122,600,141,711,94,1002,99,680,78,491,172,910,185,1861,305,2417,169,917,72,351,41,252,19,102,37,212,136,1500,69,725,42,396,4,27,10,164,13,138,18,254,15,212,3,42,33,409,31,390,2,19,16,112,16,112
3,D,06,060,管理，補助的経済活動を行う事業所,74,3566,66,3535,7,757,7,86,12,513,7,1104,4,437,4,70,2,147,6,137,1,1,-,-,3,18,2,22,2,87,-,-,2,53,2,66,-,-,1,8,-,-,1,10,2,18,-,-,1,1,-,-,7,26,2,4,1,6,-,-,-,-,-,-,1,2,-,-,-,-,1,1,-,-,1,12,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,06,061,一般土木建築工事業,562,37517,413,35552,32,3426,45,4916,49,14059,39,5858,11,979,10,503,20,398,25,1460,16,417,7,221,13,157,19,170,18,1530,10,99,8,139,13,208,9,63,6,33,12,93,11,373,18,221,8,27,14,202,-,-,127,1730,23,193,13,150,2,4,6,22,8,95,10,195,4,72,3,108,11,74,-,-,3,52,5,30,1,2,3,62,2,2,-,-,2,23,3,6,4,219,2,27,3,47,3,39,3,127,3,34,5,11,5,136,22,235,8,64,5,34,-,-,-,-,3,30,14,171,8,140,5,86,-,-,2,39,1,15,1,6,1,6,-,-,2,6,2,6,-,-,3,19,3,19
3,D,06,062,土木工事業（舗装工事業を除く）,2908,38673,1739,26853,43,2083,75,2041,81,2677,47,767,25,537,46,471,45,490,93,1694,47,656,26,263,133,1429,161,1748,50,933,44,607,60,574,29,655,70,1257,28,272,99,1030,135,1541,158,2105,98,1106,146,1917,-,-,1053,10277,181,1797,40,334,20,277,40,405,62,512,56,835,33,321,65,669,107,828,13,158,38,388,39,393,16,180,22,176,19,165,24,247,20,213,17,119,20,134,31,229,31,221,25,369,33,267,12,137,52,441,37,462,116,1543,49,516,12,132,15,184,7,65,15,135,67,1027,35,446,18,231,4,27,6,100,7,88,11,236,9,196,2,40,17,294,15,275,2,19,4,51,4,51
3,D,06,063,舗装工事業,556,7047,406,5545,8,99,75,1020,15,518,27,322,2,44,3,34,5,49,21,214,44,463,2,66,39,469,26,284,10,301,7,68,14,110,2,22,6,55,3,26,23,164,15,155,24,553,4,50,31,459,-,-,137,1412,29,363,9,99,2,8,6,41,7,57,9,89,8,95,6,68,14,145,-,-,3,45,2,21,6,61,-,-,4,33,4,34,5,51,5,28,2,13,-,-,3,14,1,13,2,26,4,69,1,1,5,38,13,90,6,32,4,24,1,3,-,-,1,5,7,58,3,33,2,14,-,-,-,-,1,19,-,-,-,-,-,-,-,-,-,-,-,-,4,25,4,25
3,D,06,064,建築工事業（木造建築工事業を除く）,4821,75363,3507,64724,121,4284,123,7270,118,10198,168,6664,68,804,123,1514,125,1140,145,5072,117,1695,64,563,249,1769,245,2225,141,4704,99,693,172,2530,124,3615,115,1011,79,528,181,1647,246,2003,262,2084,186,898,236,1813,-,-,1270,10418,221,1791,101,1430,39,419,75,568,39,274,82,691,34,186,45,290,120,1111,21,173,47,404,32,266,42,299,28,231,23,135,16,81,30,166,38,184,15,69,28,143,41,230,18,181,27,129,25,126,36,202,47,639,44,221,23,76,14,49,8,25,1,2,-,-,21,145,8,60,7,46,-,-,1,14,-,-,3,5,3,5,-,-,5,63,5,63,-,-,5,17,5,17
3,D,06,065,木造建築工事業,2635,13520,1442,8268,4,206,8,224,17,661,49,971,24,75,21,99,45,147,47,279,50,163,28,190,152,547,135,773,20,363,53,171,82,448,39,259,54,221,45,174,71,278,165,683,137,529,84,303,112,504,-,-,1104,5013,150,684,60,572,37,302,42,131,99,323,58,227,29,103,51,248,83,338,17,126,41,200,24,88,39,213,19,50,18,58,17,55,19,70,40,144,24,96,33,115,33,123,16,108,25,107,16,61,64,198,50,273,89,239,65,153,27,58,13,29,11,35,14,31,24,86,13,42,8,15,-,-,1,11,4,16,3,7,2,5,1,2,8,37,8,37,-,-,-,-,-,-
3,D,06,066,建築リフォーム工事業,2958,19616,2080,15019,53,720,58,1251,78,1022,102,1632,39,299,70,460,70,350,87,981,86,576,52,289,141,674,148,884,75,682,88,549,134,719,83,575,79,379,36,172,97,536,156,734,143,665,81,350,124,520,-,-,858,4513,126,628,49,523,33,190,26,76,20,71,47,212,19,60,50,198,94,776,20,89,37,218,27,92,26,89,31,103,9,51,11,31,26,77,26,82,10,35,28,86,30,76,31,292,9,24,18,64,14,57,41,313,20,84,17,71,9,49,4,11,-,-,4,11,3,13,2,4,2,4,-,-,-,-,-,-,-,-,-,-,-,-,1,9,1,9,-,-,-,-,-,-
2,D,07,000,職別工事業（設備工事業を除く）,15152,108148,10838,85042,257,3825,320,5049,282,4390,427,4201,212,1847,393,3377,409,2784,523,5145,362,2979,180,1009,772,4683,681,3786,258,2803,320,2471,432,2862,335,2930,375,2306,269,1695,592,3709,907,6208,1184,7337,531,3671,817,5975,-,-,4120,22303,635,3448,159,1038,79,481,163,1063,194,739,284,1687,125,685,178,1036,411,2130,54,250,199,1136,146,751,157,694,83,426,46,315,64,305,102,511,138,683,65,312,139,613,156,813,60,364,101,533,61,326,140,740,181,1224,194,803,143,628,99,465,34,138,7,14,3,11,51,175,24,60,11,38,1,1,9,14,3,7,15,66,15,66,-,-,10,41,9,14,1,27,2,8,2,8
3,D,07,070,管理，補助的経済活動を行う事業所,34,337,27,304,1,1,1,44,-,-,2,28,-,-,1,2,-,-,-,-,3,85,-,-,3,48,-,-,-,-,3,43,2,4,-,-,4,31,2,4,3,5,-,-,-,-,2,9,-,-,-,-,6,31,3,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,071,大工工事業,1116,5348,667,3330,4,17,6,45,2,19,26,88,15,182,19,76,28,90,40,168,22,52,9,40,58,242,33,130,10,94,16,102,39,208,13,80,23,148,16,70,40,236,65,324,74,322,46,307,63,290,-,-,414,1935,57,252,12,37,8,48,8,55,27,82,28,118,11,35,12,54,51,287,4,9,17,74,15,72,14,34,11,56,6,19,6,24,13,23,12,40,4,4,13,39,20,73,6,34,10,63,10,37,15,60,24,306,35,83,17,47,12,37,2,5,2,3,1,2,18,36,9,14,3,7,1,1,5,6,-,-,7,20,7,20,-,-,2,2,2,2,-,-,-,-,-,-
3,D,07,072,とび・土工・コンクリート工事業,1665,20112,1234,16457,39,1090,52,1564,28,1281,45,625,11,162,55,845,52,517,75,1108,44,449,21,101,106,809,72,849,25,498,19,279,53,672,30,421,31,336,26,188,64,560,76,917,136,1297,64,609,110,1280,-,-,421,3558,84,633,14,124,3,120,18,155,15,79,35,356,9,65,22,218,47,277,4,44,20,152,15,118,21,184,3,14,5,56,3,46,10,126,9,93,9,52,12,71,12,108,4,26,9,94,6,72,18,139,14,136,10,97,8,68,6,44,2,24,-,-,-,-,2,29,1,10,1,10,-,-,-,-,-,-,1,19,1,19,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,073,鉄骨・鉄筋工事業,511,6527,330,5218,8,157,16,397,10,271,10,276,3,11,7,61,15,278,38,957,6,69,2,17,18,183,5,28,-,-,3,34,10,123,6,352,4,71,3,22,16,118,25,358,37,316,33,386,55,733,-,-,165,1221,36,296,4,18,3,36,4,13,11,55,7,71,2,19,3,12,16,128,6,19,2,5,6,40,6,42,5,22,1,5,2,8,5,43,6,35,5,32,4,29,13,104,3,20,2,17,6,33,5,115,2,4,16,88,15,87,13,70,1,14,1,3,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,074,石工・れんが・タイル・ブロック工事業,889,4220,566,3013,6,26,7,167,11,102,14,79,9,72,11,129,18,109,25,112,14,101,10,47,34,171,45,183,9,41,19,127,18,102,15,85,24,126,19,101,43,228,73,320,71,298,26,96,45,191,-,-,300,1130,45,144,6,50,7,37,13,46,17,50,22,75,8,27,14,103,23,68,4,28,27,115,9,36,9,21,8,26,3,11,4,12,9,29,8,21,7,24,10,34,19,74,2,5,5,23,3,7,11,30,7,34,23,77,21,70,15,49,4,12,-,-,2,9,2,7,-,-,-,-,-,-,-,-,-,-,2,7,2,7,-,-,-,-,-,-,-,-,-,-,-,-
3,D,07,075,左官工事業,730,4190,487,2936,1,1,3,53,5,27,9,100,10,89,15,86,19,62,18,73,14,90,8,63,51,214,25,170,12,53,15,102,18,106,13,66,27,115,15,51,36,194,50,495,70,459,29,138,24,129,-,-,228,1187,29,98,10,77,4,14,9,49,14,33,12,88,6,59,12,74,18,58,4,26,12,63,2,6,7,20,4,8,-,-,5,28,7,35,8,39,5,40,14,69,8,82,2,7,8,15,6,27,8,21,14,151,15,67,9,24,7,21,2,3,-,-,-,-,6,43,3,12,1,7,-,-,1,3,1,2,2,4,2,4,-,-,1,27,-,-,1,27,-,-,-,-
3,D,07,076,板金・金物工事業,834,3330,578,2382,3,23,11,66,7,156,21,227,16,46,18,91,23,148,26,82,27,81,14,35,48,127,36,95,4,18,17,60,22,86,22,59,22,67,16,48,25,69,39,132,75,333,32,124,54,209,-,-,244,879,37,112,6,17,3,6,14,65,19,59,20,63,11,25,7,38,16,97,1,1,14,59,8,46,9,32,5,16,3,17,5,9,8,23,3,9,6,27,6,19,7,33,3,5,9,45,3,5,15,25,6,26,12,69,9,62,6,56,1,3,2,3,-,-,3,7,1,2,-,-,-,-,-,-,1,2,1,4,1,4,-,-,1,1,1,1,-,-,-,-,-,-
3,D,07,077,塗装工事業,2205,12036,1462,8311,25,356,17,147,29,313,45,195,26,222,42,201,64,298,52,326,59,441,26,85,135,726,102,524,19,134,54,297,49,246,55,278,62,300,32,162,82,381,148,725,162,890,64,405,113,659,-,-,708,3587,86,391,28,184,11,43,24,117,38,162,43,211,29,183,29,153,68,487,11,40,34,177,36,106,35,170,18,94,7,34,18,93,13,58,42,221,8,25,25,120,22,87,8,81,17,76,8,37,26,141,24,96,35,138,24,105,12,60,10,40,2,5,-,-,11,33,3,6,2,5,-,-,1,1,-,-,2,12,2,12,-,-,4,7,4,7,-,-,2,8,2,8
