"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"90","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","封入・封緘","封入・封緘","","3000","5日","7円～","自力での納品可","無","無","有","封入物1～10点くらいまで対応可能です。封入点数によって単価が変わります。"
"91","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","箱・袋詰め","箱・袋詰め","","12000","20日","4円","自力での納品可","無","無","有","衛生面に注意して封入梱包しています。"
"92","銀杏企画三丁目","社会福祉法人本郷の森","文京区","03-5684-1016","竹内(宮本)","http://www.hongounomori.com/","ichou3@hongounomori.com","清掃","清掃","","1～2か所/日","１～３日/週","最賃時給","自力での納品可","無","無","有","2～5名程度のチームで伺います。文京区内希望。"
"93","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","パスケース","生活用品","1","50","２ヶ月","１５００／個","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"94","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","マウスパッド","生活用品","1","50","２ヶ月","１２００／枚","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"95","工房わかぎり","社会福祉法人わかぎり","文京区","03-3812-3417","天川","https://www.normanet.ne.jp/~wakagiri/","kobowakagiri@mx36.tiki.ne.jp","ブックカバー","生活用品","1","50","2ヶ月","１５００／枚","自力での納品可","無","無","有","社名や団体名入りも制作しています。行事の記念品やキャンペーンの粗品にもお使いいただけます。"
"96","本郷福祉センター若駒の里","太陽福祉協会","文京区","03-3823-8091","根本 亜紀","","","ビーズ","箱・袋詰め","600","650","２ヶ月","3","自力での納品可","無","無","有","アイロンビーズ"
"97","本郷福祉センター若駒の里","太陽福祉協会","文京区","03-3823-8091","根本 亜紀","","","ノズル","箱・袋詰め","20","30","１ヶ月","440","発注元による回収希望","無","無","有","工業用ボンドの先端"
"98","小石川福祉作業所","社会福祉法人佑啓会","文京区","03-3811-1431","","http://fgakusya.sakura.ne.jp/","fg.koishikawa@yukeikai.jp","DM封入、封緘","封入・封緘","300","10000","10日","未定","発注元による回収希望","無","無","有","具体的な数量、単価、納期に関しては発注時にご確認、ご相談させて頂きます。"
"99","小石川福祉作業所","社会福祉法人佑啓会","文京区","03-3811-1431","","http://fgakusya.sakura.ne.jp/","fg.koishikawa@yukeikai.jp","点字刻印","その他","500","10000","1か月","未定","発注元による回収希望","無","有","有","具体的な数量、単価、納期に関しては発注時にご確認、ご相談させて頂きます。"
"100","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","チラシの封入","封入・封緘","1","800000","１ヶ月","１円","発注元による回収希望","無","無","有","多量のチラシの封入を行い、結束後出荷しています。"
"101","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","色紙","封入・封緘","1","5000","２週間","２．５円","発注元による回収希望","無","無","有","色紙をビニールに入れ、テープ止めした後、梱包して出荷しています。"
"102","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","封筒への点字の刻印","その他","1","20000","１ヶ月","２円","自力での納品可","無","有","無","区の障害福祉課で使用する封筒２種類への視覚障碍者の為の点字の刻印をしています。"
"103","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","箸・おしぼりセット","箱・袋詰め","1","300","１週間","４円","自力での納品可","無","無","有","宅配チェーン店で使用するはしセットの作成をしています。"
"104","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","テープ起こし、データ入力","データ入力","1件","30件","一週間～応相談","テープ起こし150円/分整文500～2000円/件","自力での納品可","無","有","有","講演会や会議のテープ起こしのほか、データ入力や文章作成などPCを使った業務の実績があります。単価や納期などお気軽にご相談ください。"
"105","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","DMの封入、封緘、ラベル貼り","封入・封緘","1000組","250000組","一週間～応相談","1.5円～/件","自力での納品可","無","無","有","チラシの封入、封緘、ラベル貼りまでを一貫して請け負っています。25万件の受注が可能です。単価や納期などお気軽にご相談ください。"
"106","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","箱の組み立て、箱詰め、袋詰め","箱・袋詰め","1000組","250000組","一週間～応相談","応相談","自力での納品可","無","無","有","商品やノベルティ等の箱の組み立て、箱詰め、袋詰めを請け負っています。単価や納期などお気軽にご相談ください。"
"107","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","アクセサリーの製造","生活用品","1個","5000個","一週間～応相談","応相談","自力での納品可","無","無","有","主に天然石を使ったアクセサリーや数珠の制作を行っています。ご希望のデザインのご相談を承ります。ノベルティなどにご活用ください。"
"108","かれん","特定非営利活動法人えん","台東区","03-5828-1970","金子・佐竹","","b_karen@jcom.home.ne.jp","お弁当","食品","10食","６0食","14日","550円/食","発注元による回収希望","有","有","有","研修会やイベントの昼食としてご利用頂いています。単価やメニュー内容のご希望があれば、是非、ご相談ください。台東区内は自力納品可です。"
"109","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","印刷物の丁合、封入、封緘","封入・封緘","1万部","10万部","2日から10日","1工程につき\0.5～\1.5","発注元による回収希望","無","無","有","実績：チラシ仕分け、OPP袋への封入、封緘は定期的に受注、"
"110","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","アクセサリーのタグ付け、値段シール貼、検品、袋詰め","箱・袋詰め","数百","5000個","2日から10日","素材、販売予定単価により変動、￥1.0～5円","発注元による回収希望","無","無","有","実績：定期的に受注、"
"111","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","デコパージュ","生活用品","50","500","1ｗから6ｗ","1個￥140","自力での納品可","無","有","無","受注により生産している。ただし、他の受注作業の受け入れ状況により納期は相談"
"112","こすもす浅草橋","一般社団法人東京障害者就労サポート協会","台東区","03-6795-1012","野口","https://www.cosmos-a.org","info@cosmos-a.org","布草履","生活用品","5","10","1か月","1足￥１０００～￥1500","自力での納品可","無","無","有","クルミルに納品"
"113","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","施設清掃","清掃","","","１年","年間契約","","無","有","有",""
"114","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","メディアリサイクル","その他","","","１年","キロ単位価格","発注元による回収希望","無","有","無",""
"115","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","パン","食品","","","","種類別単価","","無","無","無",""
"116","たいとう福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3871-0681","遠藤","http://tunagu-taitou.sakura.ne.jp/","taito-fukusaku@herb.ocn.ne.jp","施設清掃","清掃","","","1年","年間契約","","無","無","有","区内外郭団体施設内を清掃（除塵機やモップ等を用いる）"
