"ゴミの分類
番号","データ
提出組織",地区名,ゴミの品目,分別区分1,分別区分2,分別区分3,分別区分4,"粗大ごみ
回収料金",備考
167,あきる野市,全域,おもちゃ（可燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
168,あきる野市,全域,おもちゃ（電池が取り外せないもの）,有害ごみ,,,,,「充電池が取り外せない製品群」扱い。充電池が取り外せない家電類だけを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
169,あきる野市,全域,折込チラシ,紙類・布類,,,,,雑誌類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。
170,あきる野市,全域,折りたたみイス（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
171,あきる野市,全域,折りたたみイス（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
172,あきる野市,全域,折りたたみ机,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
173,あきる野市,全域,御鈴,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
174,あきる野市,全域,オルガン,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
175,あきる野市,全域,おろしがね（金属製）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
176,あきる野市,全域,おろしがね（プラスチック製）,可燃ごみ,,,,,
177,あきる野市,全域,温水洗浄便座,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
178,あきる野市,全域,温度計（水銀を含まないもの）,不燃ごみ,,,,,
179,あきる野市,全域,温度計（水銀を含むもの）,有害ごみ,,,,,水銀、鉛等の有害な金属を含むものだけを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
180,あきる野市,全域,温風ヒーター（設置型）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
181,あきる野市,全域,ガーデニングライト（充電式、太陽光発電方式等）,有害ごみ,,,,,「電池が取り外せない製品群」として排出してください。
182,あきる野市,全域,カーテン（レース・遮光を除く）,紙類・布類,,,,,布類扱い。ひもで十字に縛ってください。（ひもの素材は問いません）※粘着テープなどで束ねたものは回収できません。下着、靴下は可燃ごみになります。
183,あきる野市,全域,カーテン（レース・遮光）（全ての辺を50cm以下に切り、可燃ごみ専用袋に入るもの）,可燃ごみ,,,,,
184,あきる野市,全域,カーテン（レース・遮光）（いずれかの辺が50cmを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
185,あきる野市,全域,カーテンレール（長さ3m以内）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
186,あきる野市,全域,カーテンレール（長さ3mを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（長さ3m以内であれば粗大ごみ扱い（有料）です。）
187,あきる野市,全域,カーペット,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
188,あきる野市,全域,カーボン紙,可燃ごみ,,,,,
189,あきる野市,全域,カー用品,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
190,あきる野市,全域,カーナビ　・　カーカラーテレビ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
191,あきる野市,全域,カーチューナ　・　カーステレオ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
192,あきる野市,全域,カーラジオ　・　カーＣＤプレイヤ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
193,あきる野市,全域,カーＤＶＤ　・　カーＭＤ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
194,あきる野市,全域,カースピーカ　・　カーアンプ,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
195,あきる野市,全域,ＶＩＣＳユニット　・　ＥＴＣ車載ユニット,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
196,あきる野市,全域,ドライブレコーダー,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
197,あきる野市,全域,貝殻,可燃ごみ,,,,,
198,あきる野市,全域,害虫駆除剤（水を入れるタイプ使用済み）,不燃ごみ,,,,,
199,あきる野市,全域,害虫駆除剤（足で踏むタイプ使用済み）,有害ごみ,,,,,可燃性ガス、爆発の危険のあるもののみを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
200,あきる野市,全域,害虫駆除剤（未使用品）,処理不能,,,,,使い切ってから捨てていただくか、廃棄物事業者に直接ご依頼ください。（有料）
201,あきる野市,全域,懐中電灯（電池は有害ごみに）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
202,あきる野市,全域,鏡（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,不燃ごみ袋に入らない姿見等は粗大ごみ扱い。割れている場合は、紙などに包み、不燃ごみ袋に「割れ物あり」と書いて出してください。
203,あきる野市,全域,鏡（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
204,あきる野市,全域,鍵,不燃ごみ,,,,,
205,あきる野市,全域,角材（木材）（一辺が4cm以下、長さ50cm以下）,可燃ごみ,,,,,
206,あきる野市,全域,角材（木材）（一辺が13cm以下、長さ100cm以下）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
207,あきる野市,全域,角材（木材）（一辺が13cmを超え、長さ100cmを超えるもの）,処理不能,,,,,処理可能なサイズ以下に切って出してください。（一辺13ｃｍ以下×長さ100ｃｍ以下の場合は粗大ごみ扱い、一辺4ｃｍ以下×長さ50ｃｍ以下の場合は可燃ごみ扱いで袋に入れてください。）
